source_model,target_model,sample_index,image_name,view_index,semantic_score,raw_target_removal_delta,processed_target_removal_delta,raw_source_removal_delta,processed_source_removal_delta,raw_transfer_selective_benefit,processed_transfer_selective_benefit,view_to_uniform_cosine
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,0,-3.6981888115406036e-05,-0.0003076898865401745,-0.00035482109524309635,0.0007309913635253906,0.0006418228149414062,0.0010386812500655651,0.0009966439101845026,0.335205078125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,1,0.0010730964131653309,-0.001333950087428093,-0.0013527364935725927,-0.0008783340454101562,-0.0008611679077148438,0.0004556160420179367,0.000491568585857749,0.285888671875
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,2,0.03776818886399269,0.0003623724915087223,0.0003605186939239502,0.000995635986328125,0.0009746551513671875,0.0006332634948194027,0.0006141364574432373,0.389892578125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,3,0.01508351881057024,-0.0008431454189121723,-0.000744375865906477,-0.0004177093505859375,-0.00037097930908203125,0.0004254360683262348,0.0003733965568244457,0.19921875
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,4,0.06433452665805817,0.00015701772645115852,0.00023676804266870022,-0.0048828125,-0.004894256591796875,-0.0050398302264511585,-0.005131024867296219,0.31787109375
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,5,0.03859572112560272,2.189609222114086e-05,3.5664066672325134e-05,-0.005054473876953125,-0.005214691162109375,-0.0050763702020049095,-0.0052503552287817,0.2186279296875
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,6,0.023746753111481667,-0.0008993442170321941,-0.0009905763436108828,-0.0056610107421875,-0.0055084228515625,-0.004761666525155306,-0.004517846740782261,0.3193359375
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,7,0.007372877560555935,-6.263912655413151e-05,-3.843219019472599e-05,0.0038814544677734375,0.004032135009765625,0.003944093361496925,0.004070566967129707,0.459228515625
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,8,0.020564842969179153,-0.0005211478564888239,-0.0004706531763076782,-0.004695892333984375,-0.004474639892578125,-0.004174744710326195,-0.004003986716270447,0.44140625
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,9,-0.0037720189429819584,-0.0003999713808298111,-0.00035241805016994476,-0.0037670135498046875,-0.0038547515869140625,-0.0033670421689748764,-0.0035023335367441177,0.2099609375
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,10,0.013537181541323662,0.0022679073736071587,0.002173005137592554,0.00033402442932128906,0.0004673004150390625,-0.0019338829442858696,-0.0017057047225534916,0.36279296875
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,11,0.0047222524881362915,-0.00010508392006158829,-7.550511509180069e-05,0.00055694580078125,0.0006341934204101562,0.0006620297208428383,0.0007096985355019569,0.1973876953125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,12,0.029249373823404312,-0.0031633167527616024,-0.0029670819640159607,-0.003787994384765625,-0.003658294677734375,-0.0006246776320040226,-0.0006912127137184143,0.28173828125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,13,0.005561787635087967,0.0009352988563477993,0.0008098606485873461,0.00015306472778320312,1.239776611328125e-05,-0.0007822341285645962,-0.0007974628824740648,0.299072265625
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,14,0.026689093559980392,0.0009946422651410103,0.0009343435522168875,-0.0028133392333984375,-0.0026988983154296875,-0.003807981498539448,-0.003633241867646575,0.384033203125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,15,0.011223182082176208,-0.0009823068976402283,-0.0007890542037785053,-0.00026607513427734375,-0.000171661376953125,0.0007162317633628845,0.0006173928268253803,0.2626953125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,16,0.020106835290789604,0.00013311346992850304,0.00014835107140243053,-0.004673004150390625,-0.004665374755859375,-0.004806117620319128,-0.004813726060092449,0.349609375
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,17,0.02267169952392578,-0.00031969789415597916,-0.00032271374948322773,0.0010814666748046875,0.0012874603271484375,0.0014011645689606667,0.0016101740766316652,0.264892578125
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,18,-0.02114582434296608,0.004889326170086861,0.004629247356206179,0.00585174560546875,0.005863189697265625,0.0009624194353818893,0.0012339423410594463,0.37353515625
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,19,-0.004276694729924202,-0.001328150974586606,-0.0012625688686966896,0.0004143714904785156,0.000431060791015625,0.0017425224650651217,0.0016936296597123146,0.281494140625
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,0,-0.010789301246404648,-0.000859403982758522,-0.0008326154202222824,-0.005382537841796875,-0.005222320556640625,-0.004523133859038353,-0.004389705136418343,0.3173828125
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,1,-0.0031246659345924854,-0.0007945988327264786,-0.0006748922169208527,0.00452423095703125,0.004291534423828125,0.005318829789757729,0.004966426640748978,0.3583984375
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,2,-0.009189337491989136,-0.000401325523853302,-0.0003728065639734268,-0.006099700927734375,-0.006076812744140625,-0.005698375403881073,-0.005704006180167198,0.291259765625
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,3,-0.004847564734518528,0.0007967520505189896,0.0006193984299898148,0.0017480850219726562,0.0019159317016601562,0.0009513329714536667,0.0012965332716703415,0.315673828125
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,4,0.01718636229634285,0.0011968035250902176,0.00120517797768116,-0.0062103271484375,-0.006038665771484375,-0.007407130673527718,-0.007243843749165535,0.31689453125
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,5,-0.011678310111165047,0.00032262131571769714,0.0001658070832490921,-0.0004532337188720703,-0.00023090839385986328,-0.0007758550345897675,-0.0003967154771089554,0.3037109375
