source_model,target_model,sample_index,selector,repeat,target_clean_correct,target_logit_drop,target_loss_increase,target_prediction_changed
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_relu,2,True,-0.3914918899536133,-0.024986527860164642,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_relu,2,True,1.4951820373535156,0.45260512828826904,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_relu,2,True,0.37673187255859375,0.03586295247077942,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_relu,2,True,-0.16271591186523438,-0.032504111528396606,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_relu,2,True,0.0062541961669921875,0.002496495842933655,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_relu,2,True,0.028196334838867188,0.0031468942761421204,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_relu,2,True,-0.2646169662475586,-0.01322086900472641,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_relu,3,True,0.07486820220947266,0.024870827794075012,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_relu,3,True,-0.48627567291259766,-0.027904026210308075,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_relu,3,True,1.4277715682983398,0.557681143283844,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_relu,3,True,0.3960704803466797,0.031100690364837646,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_relu,3,True,-0.09169197082519531,-0.022549137473106384,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_relu,3,True,0.0690908432006836,0.010588869452476501,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_relu,3,True,-0.024812698364257812,-0.0029037296772003174,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_relu,3,True,0.036614418029785156,0.004989504814147949,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_signed,0,True,-0.07080841064453125,-0.00876171886920929,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_signed,0,True,-0.4879169464111328,-0.024461619555950165,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_signed,0,True,0.7393436431884766,0.13569657504558563,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_signed,0,True,0.7084970474243164,0.04600122570991516,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_signed,0,True,0.011279106140136719,-0.0037919580936431885,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_signed,0,True,-0.15256881713867188,-0.01662294566631317,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_signed,0,True,0.07045269012451172,0.0074151381850242615,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_signed,0,True,-0.18114280700683594,-0.013671934604644775,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_signed,1,True,-0.16335296630859375,-0.01815124601125717,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_signed,1,True,-0.33896541595458984,-0.022319097071886063,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_signed,1,True,1.7143497467041016,0.5148791670799255,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_signed,1,True,0.3105049133300781,0.014387518167495728,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_signed,1,True,-0.010425567626953125,-0.01003175973892212,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_signed,1,True,-0.064697265625,-0.006654217839241028,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_signed,1,True,0.007809638977050781,0.0006496980786323547,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_signed,1,True,0.12575626373291016,0.012425430119037628,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_signed,2,True,-0.0836029052734375,-0.010969065129756927,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_signed,2,True,-0.04326343536376953,-0.006229601800441742,False
vit_base_patch16_224,vit_base_patch16_224,2,gradcam_signed,2,True,1.246556282043457,0.3031122088432312,False
vit_base_patch16_224,vit_base_patch16_224,3,gradcam_signed,2,True,0.5403165817260742,-0.003446519374847412,False
vit_base_patch16_224,vit_base_patch16_224,4,gradcam_signed,2,True,-0.16199302673339844,-0.032775089144706726,False
vit_base_patch16_224,vit_base_patch16_224,5,gradcam_signed,2,True,0.11715507507324219,0.01736573874950409,False
vit_base_patch16_224,vit_base_patch16_224,6,gradcam_signed,2,True,0.05199241638183594,0.0051982104778289795,False
vit_base_patch16_224,vit_base_patch16_224,7,gradcam_signed,2,True,-0.054229736328125,-0.0043436214327812195,False
vit_base_patch16_224,vit_base_patch16_224,0,gradcam_signed,3,True,-0.07920551300048828,-0.00986037403345108,False
vit_base_patch16_224,vit_base_patch16_224,1,gradcam_signed,3,True,-0.44251441955566406,-0.025645099580287933,False
