model,sample_index,image_name,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,global_feature_shift,kept_local_feature_shift,kept_score_abs_change,gradient_cosine,gradient_norm_ratio
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,0,True,-0.5262079238891602,-0.042376138269901276,False,0.025650084018707275,0.13918818533420563,0.046604037284851074,0.18041136860847473,0.1764209270477295
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,0,True,-0.1499643325805664,-0.013503994792699814,False,0.011086523532867432,0.06475026160478592,0.031211523339152336,0.08725374937057495,1.3667112588882446
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,0,True,1.3354406356811523,0.32853102684020996,False,0.019199728965759277,0.12049543857574463,0.06794150173664093,0.025986259803175926,14.79507827758789
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,0,True,0.6646728515625,0.07948699593544006,False,0.008791446685791016,0.056788526475429535,0.03494831174612045,0.0288444422185421,0.7163407802581787
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,0,True,-0.2709789276123047,-0.04924406111240387,False,0.0051767826080322266,0.04834645241498947,0.028475690633058548,0.10518023371696472,1.3440678119659424
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,0,True,0.05008888244628906,0.00785796344280243,False,0.0012480616569519043,0.054942674934864044,0.02993081510066986,0.03591391444206238,0.5931987166404724
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,0,True,0.07421493530273438,0.008126042783260345,False,0.000978708267211914,0.03129594773054123,0.017931539565324783,0.06321088969707489,1.2225357294082642
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,0,True,-0.1377887725830078,0.006515763700008392,False,0.02097862958908081,0.06728281825780869,0.03191249072551727,0.026318881660699844,0.5232502222061157
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,1,True,-0.5262079238891602,-0.042376138269901276,False,0.025650084018707275,0.13918818533420563,0.046604037284851074,0.18041136860847473,0.1764209270477295
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,1,True,-0.1499643325805664,-0.013503994792699814,False,0.011086523532867432,0.06475026160478592,0.031211523339152336,0.08725374937057495,1.3667112588882446
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,1,True,1.3354406356811523,0.32853102684020996,False,0.019199728965759277,0.12049543857574463,0.06794150173664093,0.025986259803175926,14.79507827758789
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,1,True,0.6646728515625,0.07948699593544006,False,0.008791446685791016,0.056788526475429535,0.03494831174612045,0.0288444422185421,0.7163407802581787
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,1,True,-0.2709789276123047,-0.04924406111240387,False,0.0051767826080322266,0.04834645241498947,0.028475690633058548,0.10518023371696472,1.3440678119659424
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,1,True,0.05008888244628906,0.00785796344280243,False,0.0012480616569519043,0.054942674934864044,0.02993081510066986,0.03591391444206238,0.5931987166404724
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,1,True,0.07421493530273438,0.008126042783260345,False,0.000978708267211914,0.03129594773054123,0.017931539565324783,0.06321088969707489,1.2225357294082642
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,1,True,-0.1377887725830078,0.006515763700008392,False,0.02097862958908081,0.06728281825780869,0.03191249072551727,0.026318881660699844,0.5232502222061157
