source_model,condition,sample_index,image_name,preserved_view_fraction,mean_route_distance,mean_global_cosine,mean_view_js,weight_entropy,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
pit_b_224,uniform_opponent,0,ILSVRC2012_val_00031361.JPEG,0.0,0.35617348551750183,0.9025258421897888,0.00448854872956872,2.995732307434082,0.2523096799850464,0.3899030089378357,0.6269182562828064,17.803524017333984
pit_b_224,uniform_opponent,1,ILSVRC2012_val_00031410.JPEG,0.30000001192092896,0.38186225295066833,0.9733471870422363,0.00264397612772882,2.995732307434082,0.05218970403075218,0.2747006416320801,0.5897185206413269,19.73912239074707
pit_b_224,uniform_opponent,2,ILSVRC2012_val_00031472.JPEG,0.75,0.39656123518943787,0.9859580993652344,0.0030562642496079206,2.995732307434082,0.017250021919608116,0.2762281000614166,0.5889462232589722,19.645227432250977
pit_b_224,uniform_opponent,3,ILSVRC2012_val_00031495.JPEG,0.30000001192092896,0.32407650351524353,0.9623075723648071,0.03429154306650162,2.995732307434082,0.10597287863492966,0.2739250361919403,0.5889149904251099,19.7465877532959
pit_b_224,uniform_opponent,4,ILSVRC2012_val_00031548.JPEG,0.0,0.4037652909755707,0.8974798321723938,0.004834075458347797,2.995732307434082,0.033421941101551056,0.25104883313179016,0.598652720451355,19.798419952392578
pit_b_224,uniform_opponent,5,ILSVRC2012_val_00031586.JPEG,0.75,0.5365051031112671,0.9811466336250305,0.002391998888924718,2.995732307434082,0.12756787240505219,0.3099983334541321,0.6033545136451721,19.389629364013672
pit_b_224,uniform_opponent,6,ILSVRC2012_val_00031588.JPEG,0.8500000238418579,0.3073316216468811,0.9864166378974915,0.0009746441501192749,2.995732307434082,0.14242041110992432,0.27738067507743835,0.627177357673645,19.64883041381836
pit_b_224,uniform_opponent,7,ILSVRC2012_val_00031593.JPEG,1.0,0.26639285683631897,0.9855928421020508,0.0009302800754085183,2.995732307434082,0.018883686512708664,0.24866802990436554,0.6167653203010559,19.86412811279297
pit_b_224,uniform_opponent,8,ILSVRC2012_val_00031629.JPEG,1.0,0.1516275405883789,0.9859030842781067,0.0005307179526425898,2.995732307434082,0.017967570573091507,0.25234895944595337,0.5896494388580322,19.836612701416016
pit_b_224,uniform_opponent,9,ILSVRC2012_val_00031647.JPEG,0.0,0.4061785638332367,0.9741750955581665,0.0012121225008741021,2.995732307434082,0.03751977160573006,0.24938395619392395,0.6048426032066345,19.846431732177734
pit_b_224,uniform_opponent,10,ILSVRC2012_val_00031670.JPEG,0.0,0.4941377639770508,0.9669289588928223,0.02439248375594616,2.995732307434082,0.15144690871238708,0.3544215261936188,0.6260619163513184,18.901830673217773
pit_b_224,uniform_opponent,11,ILSVRC2012_val_00031686.JPEG,1.0,0.42424488067626953,0.9886069297790527,0.006381073500961065,2.995732307434082,0.06938614696264267,0.272534042596817,0.6307334899902344,19.777563095092773
