model,image_name,label,early_late_spearman,strict_promotion_fraction,promotion_flip_spearman,promotion_flip_top_iou
vit_base_patch16_224,ILSVRC2012_val_00031361.JPEG,282,-0.6127550601959229,0.1428571492433548,0.9420408010482788,0.75
vit_base_patch16_224,ILSVRC2012_val_00031410.JPEG,589,0.015102043747901917,0.08163265138864517,0.8241836428642273,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031472.JPEG,317,-0.08989796787500381,0.06122449040412903,0.8934693932533264,0.75
vit_base_patch16_224,ILSVRC2012_val_00031495.JPEG,918,0.17877551913261414,0.040816325694322586,0.7338775992393494,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00031548.JPEG,889,-0.07336734980344772,0.10204081982374191,0.8508164286613464,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00031586.JPEG,49,-0.09010202437639236,0.08163265138864517,0.850612223148346,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00031588.JPEG,624,-0.42642855644226074,0.1428571492433548,0.8826531171798706,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031593.JPEG,993,0.07877549529075623,0.06122449040412903,0.9246938824653625,0.75
vit_base_patch16_224,ILSVRC2012_val_00031629.JPEG,719,0.021122440695762634,0.08163265138864517,0.8458163142204285,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031647.JPEG,945,-0.1738775372505188,0.12244898080825806,0.913877546787262,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031670.JPEG,461,-0.4248979091644287,0.10204081982374191,0.954081654548645,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00031686.JPEG,290,-0.47489798069000244,0.1428571492433548,0.9639796018600464,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031762.JPEG,377,0.16724491119384766,0.040816325694322586,0.8635714054107666,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031783.JPEG,830,-0.46918368339538574,0.1428571492433548,0.9487754702568054,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00031785.JPEG,212,0.3524489998817444,0.06122449040412903,0.8274490237236023,1.0
vit_base_patch16_224,ILSVRC2012_val_00031789.JPEG,665,-0.19816327095031738,0.12244898080825806,0.9265307188034058,0.75
vit_base_patch16_224,ILSVRC2012_val_00031922.JPEG,141,-0.14663264155387878,0.10204081982374191,0.6773470640182495,0.75
vit_base_patch16_224,ILSVRC2012_val_00031927.JPEG,59,-0.14806120097637177,0.06122449040412903,0.923061192035675,0.4000000059604645
vit_base_patch16_224,ILSVRC2012_val_00032032.JPEG,978,-0.02663266845047474,0.06122449040412903,0.9673469662666321,0.75
vit_base_patch16_224,ILSVRC2012_val_00032039.JPEG,464,-0.01775508001446724,0.06122449040412903,0.9467347264289856,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00032046.JPEG,487,-0.1135714203119278,0.08163265138864517,0.9502041339874268,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00032097.JPEG,826,-0.41499996185302734,0.1428571492433548,0.9389796257019043,0.5555555820465088
vit_base_patch16_224,ILSVRC2012_val_00032098.JPEG,745,-0.06510204076766968,0.08163265138864517,0.8045918345451355,0.75
vit_base_patch16_224,ILSVRC2012_val_00032102.JPEG,19,0.04591837897896767,0.08163265138864517,0.8787755370140076,0.5555555820465088
