source_model,target_model,sample_index,image_name,view_index,semantic_score,raw_target_removal_delta,processed_target_removal_delta,raw_source_removal_delta,processed_source_removal_delta,raw_transfer_selective_benefit,processed_transfer_selective_benefit,view_to_uniform_cosine
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,0,-0.003404243616387248,0.0001359693706035614,9.887432679533958e-05,0.0004856586456298828,0.0004010200500488281,0.0003496892750263214,0.00030214572325348854,0.225830078125
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,1,0.004447388928383589,0.0005211345851421356,0.00040899263694882393,-0.0003390312194824219,-0.000339508056640625,-0.0008601658046245575,-0.0007485006935894489,0.207763671875
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,2,-0.005819918122142553,0.00016118958592414856,0.00025872327387332916,0.0012378692626953125,0.0011453628540039062,0.001076679676771164,0.0008866395801305771,0.31982421875
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,3,-0.0005126948235556483,-4.182755947113037e-05,1.6919337213039398e-05,0.0008912086486816406,0.0007967948913574219,0.000933036208152771,0.0007798755541443825,0.2120361328125
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,4,-0.012930604629218578,0.0008923704735934734,0.0008173449896275997,0.0015783309936523438,0.0015821456909179688,0.0006859605200588703,0.000764800701290369,0.2178955078125
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,5,-0.0011055415961891413,0.0005328822880983353,0.00025333045050501823,1.7464160919189453e-05,-3.159046173095703e-06,-0.0005154181271791458,-0.00025648949667811394,0.323486328125
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,6,0.005237721838057041,-0.00014814548194408417,-0.0002285754308104515,0.0015687942504882812,0.0015459060668945312,0.0017169397324323654,0.0017744814977049828,0.255859375
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,7,0.0034980550408363342,-0.0003057466819882393,-0.0002853153273463249,-0.0006570816040039062,-0.0006642341613769531,-0.00035133492201566696,-0.0003789188340306282,0.2081298828125
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,8,0.0002943424042314291,-0.0011785011738538742,-0.0011876560747623444,-0.0033168792724609375,-0.0032062530517578125,-0.0021383780986070633,-0.002018596976995468,0.27587890625
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,9,0.005110213533043861,0.00024670641869306564,0.00015476765111088753,-0.0018520355224609375,-0.0017375946044921875,-0.002098741941154003,-0.001892362255603075,0.24951171875
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,10,0.0010026691015809774,-0.0019123712554574013,-0.0018146391957998276,0.0006575584411621094,0.0006475448608398438,0.0025699296966195107,0.0024621840566396713,0.26318359375
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,11,-0.001883497228845954,3.784894943237305e-05,2.0253006368875504e-05,-0.0003154277801513672,-0.0002567768096923828,-0.00035327672958374023,-0.0002770298160612583,0.313232421875
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,12,0.0011981986463069916,0.0010361205786466599,0.0010118852369487286,-0.0032024383544921875,-0.0030689239501953125,-0.004238558933138847,-0.004080809187144041,0.287109375
