source_model,target_model,score_kind,sample_index,image_name,score_spearman_raw_target_removal_delta,score_spearman_processed_target_removal_delta,score_spearman_raw_source_removal_delta,score_spearman_processed_source_removal_delta,score_spearman_raw_transfer_selective_benefit,score_spearman_processed_transfer_selective_benefit,score_spearman_view_to_uniform_cosine,topk_processed_target_removal_delta,lowk_processed_target_removal_delta
cait_s24_224,vit_base_patch16_224,phase,0,ILSVRC2012_val_00037758.JPEG,-0.1879698932170868,-0.2075187861919403,-0.31578949093818665,-0.3218045234680176,-0.2165413796901703,-0.24661657214164734,-0.08872181177139282,-0.00019950671412516385,0.0007115221815183759
cait_s24_224,vit_base_patch16_224,phase,1,ILSVRC2012_val_00037916.JPEG,-0.514285683631897,-0.5112781524658203,-0.18496239185333252,-0.1834586262702942,-0.05563909187912941,-0.058646611869335175,0.12631577253341675,-0.001604574965313077,-0.00011604428436839953
cait_s24_224,vit_base_patch16_224,flip,0,ILSVRC2012_val_00037758.JPEG,-0.12781955301761627,-0.14436091482639313,-0.4390977621078491,-0.44962406158447266,-0.33834585547447205,-0.38045114278793335,-0.31127819418907166,0.0002452196495141834,0.000852176162879914
cait_s24_224,vit_base_patch16_224,flip,1,ILSVRC2012_val_00037916.JPEG,-0.21503759920597076,-0.25563910603523254,-0.34887218475341797,-0.3187969923019409,-0.3308270573616028,-0.32030075788497925,0.21503758430480957,9.583830978954211e-05,0.0002884451241698116
cait_s24_224,vit_base_patch16_224,consensus,0,ILSVRC2012_val_00037758.JPEG,-0.18496239185333252,-0.20150375366210938,-0.37142857909202576,-0.38045114278793335,-0.25112783908843994,-0.2857142984867096,-0.15789473056793213,0.0002452196495141834,0.0007279131677933037
cait_s24_224,vit_base_patch16_224,consensus,1,ILSVRC2012_val_00037916.JPEG,-0.3639097809791565,-0.3729323148727417,-0.3187969923019409,-0.3082706332206726,-0.2526315748691559,-0.24661652743816376,0.21052631735801697,-0.00031456127180717885,0.00013950989523436874
cait_s24_224,vit_base_patch16_224,shuffled_semantic,0,ILSVRC2012_val_00037758.JPEG,-0.1939849555492401,-0.2165413498878479,-0.061654120683670044,-0.06466163694858551,0.20902258157730103,0.19248121976852417,-0.13684211671352386,-0.0008251162362284958,0.0002441437973175198
cait_s24_224,vit_base_patch16_224,shuffled_semantic,1,ILSVRC2012_val_00037916.JPEG,0.2571428418159485,0.25112780928611755,0.11428575217723846,0.0827067643404007,0.2210526317358017,0.19248121976852417,0.17293235659599304,-0.0004913140437565744,-0.001203838735818863
cait_s24_224,vit_base_patch16_224,permuted_score,0,ILSVRC2012_val_00037758.JPEG,-0.08421052992343903,-0.04661653935909271,0.18646615743637085,0.16842104494571686,0.23157894611358643,0.1939849555492401,-0.5654135346412659,0.00018176603771280497,-2.2284220904111862e-05
cait_s24_224,vit_base_patch16_224,permuted_score,1,ILSVRC2012_val_00037916.JPEG,0.025563903152942657,0.07669173181056976,0.1984962522983551,0.1609022617340088,0.12631577253341675,0.09473682940006256,-0.03308270871639252,-0.00034789033816196024,-0.001023927703499794
cait_s24_224,vit_base_patch16_224,phase,2,ILSVRC2012_val_00037926.JPEG,0.13533833622932434,0.16691729426383972,-0.12180451303720474,-0.11278195679187775,-0.2962406277656555,-0.30225563049316406,0.04962405562400818,-0.00033626332879066467,-0.0008629579097032547
cait_s24_224,vit_base_patch16_224,phase,3,ILSVRC2012_val_00037929.JPEG,0.0827067568898201,0.12330828607082367,-0.3097744584083557,-0.3037593960762024,-0.49473685026168823,-0.3879699110984802,0.11879698932170868,0.00012760581739712507,-0.00017618961283005774
cait_s24_224,vit_base_patch16_224,flip,2,ILSVRC2012_val_00037926.JPEG,0.0691729411482811,0.06015037000179291,-0.060150377452373505,-0.14887216687202454,-0.26015037298202515,-0.24210524559020996,-0.446616530418396,3.734845813596621e-05,-9.410903294337913e-05
cait_s24_224,vit_base_patch16_224,flip,3,ILSVRC2012_val_00037929.JPEG,-0.09022556990385056,-0.013533838093280792,-0.5097744464874268,-0.5172932147979736,-0.4481202960014343,-0.4135338068008423,-0.060150377452373505,-0.00014527754683513194,-0.00017618961283005774
cait_s24_224,vit_base_patch16_224,consensus,2,ILSVRC2012_val_00037926.JPEG,0.1849624067544937,0.2120300680398941,-0.06015037000179291,-0.13984961807727814,-0.3458646535873413,-0.33834588527679443,-0.31278195977211,0.00011494383215904236,-0.0008629579097032547
cait_s24_224,vit_base_patch16_224,consensus,3,ILSVRC2012_val_00037929.JPEG,0.010526306927204132,0.04962405562400818,-0.3082706928253174,-0.30676689743995667,-0.4436090290546417,-0.34887218475341797,0.022556379437446594,0.00012425506429281086,-0.00017618961283005774
cait_s24_224,vit_base_patch16_224,shuffled_semantic,2,ILSVRC2012_val_00037926.JPEG,-0.010526321828365326,-0.028571441769599915,-0.19548872113227844,-0.10375938564538956,-0.02857142686843872,-0.013533838093280792,-0.03157895803451538,8.997712575364858e-05,0.00046773740905337036
cait_s24_224,vit_base_patch16_224,shuffled_semantic,3,ILSVRC2012_val_00037929.JPEG,0.22255638241767883,0.26917293667793274,0.10977442562580109,0.1293233036994934,0.15939849615097046,0.04661652445793152,0.1789473593235016,0.0002577156701590866,-4.4995711505180225e-05
cait_s24_224,vit_base_patch16_224,permuted_score,2,ILSVRC2012_val_00037926.JPEG,0.17443610727787018,0.16541354358196259,0.019548870623111725,-0.03007519245147705,-0.11127817630767822,-0.09774434566497803,-0.38345861434936523,-0.0003881847660522908,-0.0005743166548199952
cait_s24_224,vit_base_patch16_224,permuted_score,3,ILSVRC2012_val_00037929.JPEG,0.33984965085983276,0.4436090290546417,-0.3729323446750641,-0.34887218475341797,-0.3172932267189026,-0.3308270573616028,0.2917293310165405,0.0004292437806725502,-0.00010391320392955095
cait_s24_224,vit_base_patch16_224,phase,4,ILSVRC2012_val_00038033.JPEG,-0.19548873603343964,-0.18045112490653992,-0.5007518529891968,-0.4736841917037964,-0.43909773230552673,-0.45413532853126526,0.12631577253341675,-0.0009782500565052032,0.00012079216685378924
cait_s24_224,vit_base_patch16_224,phase,5,ILSVRC2012_val_00038096.JPEG,-0.1849624067544937,-0.25263160467147827,-0.20451129972934723,-0.17894737422466278,-0.1939849555492401,-0.06766916811466217,0.022556394338607788,-0.00016427696391474456,0.0008204054902307689
cait_s24_224,vit_base_patch16_224,flip,4,ILSVRC2012_val_00038033.JPEG,-0.30225563049316406,-0.37593987584114075,-0.5218045115470886,-0.4977443218231201,-0.42556387186050415,-0.3999999463558197,-0.26616543531417847,-0.0009507347131147981,0.00042922570719383657
cait_s24_224,vit_base_patch16_224,flip,5,ILSVRC2012_val_00038096.JPEG,-0.2571428716182709,-0.16691729426383972,0.7609022855758667,0.7203007340431213,0.7924811840057373,0.7112782001495361,-0.36992478370666504,0.00022434015409089625,0.0008923130226321518
cait_s24_224,vit_base_patch16_224,consensus,4,ILSVRC2012_val_00038033.JPEG,-0.34285712242126465,-0.4015037715435028,-0.5067668557167053,-0.4736841917037964,-0.4060150384902954,-0.3774435818195343,-0.15338346362113953,-0.0009782500565052032,0.00127598422113806
