source_model,sample_index,image_name,phase_global_cosine,flip_global_cosine,phase_flip_gradient_cosine
cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,0.9921634197235107,0.9960678815841675,0.9597612023353577
cait_s24_224,1,ILSVRC2012_val_00037916.JPEG,0.9838556051254272,0.9966325163841248,0.36089247465133667
cait_s24_224,2,ILSVRC2012_val_00037926.JPEG,0.9735521078109741,0.9932903051376343,0.22232665121555328
cait_s24_224,3,ILSVRC2012_val_00037929.JPEG,0.970634937286377,0.9964219331741333,0.8537883758544922
cait_s24_224,4,ILSVRC2012_val_00038033.JPEG,0.9811635613441467,0.99683678150177,0.15443295240402222
cait_s24_224,5,ILSVRC2012_val_00038096.JPEG,0.9821519255638123,0.9974920749664307,-0.3264041543006897
cait_s24_224,6,ILSVRC2012_val_00038110.JPEG,0.9890683889389038,0.9954361915588379,-0.010102628730237484
cait_s24_224,7,ILSVRC2012_val_00038142.JPEG,0.9751458764076233,0.9909362196922302,-0.03001696616411209
cait_s24_224,8,ILSVRC2012_val_00038157.JPEG,0.9873344302177429,0.9966915249824524,-0.36710238456726074
cait_s24_224,9,ILSVRC2012_val_00038221.JPEG,0.9829875230789185,0.9939094185829163,0.8194876909255981
cait_s24_224,10,ILSVRC2012_val_00038236.JPEG,0.967270016670227,0.9966503977775574,0.41839930415153503
cait_s24_224,11,ILSVRC2012_val_00038251.JPEG,0.966640830039978,0.9955503940582275,0.19072341918945312
cait_s24_224,12,ILSVRC2012_val_00038413.JPEG,0.9806867837905884,0.9954454302787781,0.7602421045303345
cait_s24_224,13,ILSVRC2012_val_00038427.JPEG,0.9898539185523987,0.9955014586448669,0.49280479550361633
cait_s24_224,14,ILSVRC2012_val_00038546.JPEG,0.9687806367874146,0.9933130741119385,0.13984887301921844
cait_s24_224,15,ILSVRC2012_val_00038597.JPEG,0.9746638536453247,0.9952759742736816,-0.27463841438293457
cait_s24_224,16,ILSVRC2012_val_00038607.JPEG,0.9829126596450806,0.9962732195854187,0.013996874913573265
cait_s24_224,17,ILSVRC2012_val_00038678.JPEG,0.9869133234024048,0.9965510368347168,-0.6082512736320496
cait_s24_224,18,ILSVRC2012_val_00038705.JPEG,0.9905391931533813,0.9954192638397217,-0.7200720310211182
cait_s24_224,19,ILSVRC2012_val_00038708.JPEG,0.9882360100746155,0.9977744817733765,-0.5163007974624634
cait_s24_224,20,ILSVRC2012_val_00038743.JPEG,0.9631909132003784,0.9909709692001343,-0.7177433967590332
cait_s24_224,21,ILSVRC2012_val_00038986.JPEG,0.9820482730865479,0.993787407875061,0.1844322681427002
cait_s24_224,22,ILSVRC2012_val_00039085.JPEG,0.9758410453796387,0.9747455716133118,0.06417849659919739
cait_s24_224,23,ILSVRC2012_val_00039106.JPEG,0.9830518960952759,0.9967527389526367,0.36929094791412354
cait_s24_224,24,ILSVRC2012_val_00039130.JPEG,0.9654685258865356,0.9954825043678284,0.6077688932418823
cait_s24_224,25,ILSVRC2012_val_00039253.JPEG,0.9881698489189148,0.9951953887939453,0.08918850868940353
cait_s24_224,26,ILSVRC2012_val_00039290.JPEG,0.9694018363952637,0.9899356365203857,-0.04016605764627457
cait_s24_224,27,ILSVRC2012_val_00039421.JPEG,0.9876964092254639,0.9965336322784424,-0.005692103877663612
cait_s24_224,28,ILSVRC2012_val_00039426.JPEG,0.9881160855293274,0.9937936067581177,-0.04106849804520607
cait_s24_224,29,ILSVRC2012_val_00039464.JPEG,0.94231778383255,0.9940172433853149,-0.2308129519224167
cait_s24_224,30,ILSVRC2012_val_00039490.JPEG,0.9945515990257263,0.9987697005271912,-0.159290611743927
cait_s24_224,31,ILSVRC2012_val_00039737.JPEG,0.9520003199577332,0.984959602355957,-0.10005597025156021
cait_s24_224,32,ILSVRC2012_val_00039746.JPEG,0.971388041973114,0.996870219707489,0.16084827482700348
cait_s24_224,33,ILSVRC2012_val_00039748.JPEG,0.977012038230896,0.9972178936004639,0.1783214807510376
cait_s24_224,34,ILSVRC2012_val_00039815.JPEG,0.9703895449638367,0.9878360033035278,0.5674052834510803
cait_s24_224,35,ILSVRC2012_val_00039842.JPEG,0.9923794269561768,0.9987167716026306,0.12397833168506622
cait_s24_224,36,ILSVRC2012_val_00039892.JPEG,0.9791024923324585,0.9961915016174316,-0.9387327432632446
cait_s24_224,37,ILSVRC2012_val_00039939.JPEG,0.964745283126831,0.9961803555488586,-0.9992044568061829
cait_s24_224,38,ILSVRC2012_val_00040016.JPEG,0.990816056728363,0.9962224364280701,-0.18970292806625366
cait_s24_224,39,ILSVRC2012_val_00040140.JPEG,0.984785795211792,0.996398389339447,0.16232207417488098
cait_s24_224,40,ILSVRC2012_val_00040221.JPEG,0.9851423501968384,0.9963851571083069,0.08204187452793121
cait_s24_224,41,ILSVRC2012_val_00040291.JPEG,0.9836657047271729,0.9935430288314819,0.06907866895198822
cait_s24_224,42,ILSVRC2012_val_00040345.JPEG,0.9839146733283997,0.994163453578949,0.35392582416534424
cait_s24_224,43,ILSVRC2012_val_00040407.JPEG,0.9768405556678772,0.9960718154907227,0.03411204367876053
cait_s24_224,44,ILSVRC2012_val_00040452.JPEG,0.9858880043029785,0.9951255917549133,0.2588889002799988
cait_s24_224,45,ILSVRC2012_val_00040457.JPEG,0.970832109451294,0.9940423369407654,0.3829537034034729
cait_s24_224,46,ILSVRC2012_val_00040494.JPEG,0.9850808382034302,0.9953382611274719,0.7013255953788757
cait_s24_224,47,ILSVRC2012_val_00040541.JPEG,0.986264169216156,0.9976605176925659,-0.01616278849542141
cait_s24_224,48,ILSVRC2012_val_00040601.JPEG,0.9623873233795166,0.9945614337921143,0.2700480818748474
cait_s24_224,49,ILSVRC2012_val_00040634.JPEG,0.9874842166900635,0.9959036707878113,-0.5216952562332153
cait_s24_224,50,ILSVRC2012_val_00040798.JPEG,0.9844384789466858,0.9965149760246277,-0.27682632207870483
cait_s24_224,51,ILSVRC2012_val_00040930.JPEG,0.987357497215271,0.9952319860458374,0.23645339906215668
cait_s24_224,52,ILSVRC2012_val_00040952.JPEG,0.9925304055213928,0.9981900453567505,0.33251240849494934
cait_s24_224,53,ILSVRC2012_val_00040966.JPEG,0.9848175048828125,0.9966022968292236,0.5124530792236328
