source_model,target_model,sample_index,image_name,condition,source_target_promotion_iou,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase,one_step_target_prediction_changed
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,promotion,0.07692307978868484,True,0.012507589533925056,0.01330258883535862,0.5180232524871826,0.518534779548645,0.8185586929321289,0.4327912926673889,False
cait_s24_224,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,promotion,0.0,True,0.012648986652493477,0.01242225430905819,0.5073142647743225,0.5067429542541504,0.23501110076904297,0.03139330446720123,False
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,final_high,0.07692307978868484,True,0.018628090620040894,0.0173945315182209,0.5131337642669678,0.5137449502944946,0.4024505615234375,0.2485561966896057,False
cait_s24_224,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,final_high,0.0,True,0.013114934787154198,0.013576086610555649,0.5014947652816772,0.5020461082458496,0.18696117401123047,0.028863362967967987,False
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,random,0.07692307978868484,True,0.028214123100042343,0.028570976108312607,0.5164952874183655,0.5180032849311829,0.7323775291442871,0.4301449656486511,False
cait_s24_224,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,random,0.0,True,0.012681509368121624,0.01220073364675045,0.5083439350128174,0.5071548223495483,0.014332771301269531,0.008504845201969147,False
cait_s24_224,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,uniform,0.07692307978868484,True,0.019413530826568604,0.019287120550870895,0.5096393823623657,0.510928213596344,0.7651948928833008,0.5984919667243958,False
cait_s24_224,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,uniform,0.0,True,0.002517514396458864,0.0007873815484344959,0.5081446766853333,0.5096061825752258,-0.0030717849731445312,0.006326690316200256,False
cait_s24_224,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,promotion,0.1666666716337204,True,-0.0095444954931736,-0.008847931399941444,0.5053345561027527,0.5060520172119141,0.24627971649169922,0.05075787007808685,False
cait_s24_224,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,promotion,0.07692307978868484,True,0.023097019642591476,0.02437051758170128,0.5208665728569031,0.5239756107330322,0.31264495849609375,0.0667019709944725,False
cait_s24_224,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,final_high,0.1666666716337204,True,0.03672754764556885,0.03958485275506973,0.5076597332954407,0.5083307027816772,0.07104873657226562,0.04023848474025726,False
cait_s24_224,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,final_high,0.07692307978868484,True,0.05067753046751022,0.05294802784919739,0.5189001560211182,0.5225937962532043,0.4485921859741211,0.11300771683454514,False
cait_s24_224,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,random,0.1666666716337204,True,-0.012395482510328293,-0.010374540463089943,0.5033482313156128,0.5044775605201721,0.45815277099609375,0.08583623170852661,False
cait_s24_224,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,random,0.07692307978868484,True,0.023698605597019196,0.024265972897410393,0.5159173011779785,0.5183753371238708,0.41641902923583984,0.08156653493642807,False
cait_s24_224,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,uniform,0.1666666716337204,True,-0.010167742148041725,-0.00943787395954132,0.5020992755889893,0.5013951063156128,0.2525920867919922,0.0984351634979248,False
cait_s24_224,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,uniform,0.07692307978868484,True,-0.02917620539665222,-0.0324445478618145,0.5015146732330322,0.5008304119110107,0.12827777862548828,0.030086688697338104,False
cait_s24_224,vit_base_patch16_224,4,ILSVRC2012_val_00031548.JPEG,promotion,0.0,True,0.05288344621658325,0.05226047337055206,0.5244406461715698,0.5241483449935913,0.31171226501464844,0.19854900240898132,False
