model,split,calibration_size,evaluation_size,selected_strategy,calibration_loss_delta,calibration_loss_delta_high,calibration_loss_delta_low,calibration_loss_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
pit_b_224,0,32,32,low_score_extreme,0.019696280942298472,-0.007705281372182071,0.019696280942298472,-0.012309961603023112,0.013320998114068061,0.08883818984031677
pit_b_224,1,32,32,low_score_extreme,0.020650391175877303,0.0004057080368511379,0.020650391175877303,-0.005130709905643016,0.01236688788048923,0.08905457705259323
pit_b_224,2,32,32,low_score_extreme,0.014964916626922786,-0.005279212142340839,0.014964916626922786,-0.010387354646809399,0.018052362429443747,0.10478150472044945
pit_b_224,3,32,32,low_score_extreme,0.016455094621051103,0.0051233519916422665,0.016455094621051103,-0.00663976016221568,0.01656218443531543,0.10517152026295662
pit_b_224,4,32,32,low_score_extreme,0.01815986610017717,0.004433604655787349,0.01815986610017717,-0.002237507840618491,0.014857412956189364,0.10577574372291565
pit_b_224,5,32,32,low_score_extreme,0.011886723630595952,0.001799298042897135,0.011886723630595952,-0.005002475052606314,0.02113055542577058,0.12681621685624123
pit_b_224,6,32,32,low_score_extreme,0.01057994581060484,-0.004559038381557912,0.01057994581060484,-0.012162308383267373,0.022437333245761693,0.13282079994678497
pit_b_224,7,32,32,low_score_extreme,0.023972202965524048,0.015923815488349646,0.023972202965524048,0.007562745071481913,0.009045076090842485,0.08766142651438713
pit_b_224,8,32,32,low_score_extreme,0.010860866808798164,-0.004710711596999317,0.010860866808798164,-0.010442203900311142,0.02215641224756837,0.13009218126535416
pit_b_224,9,32,32,low_score_extreme,0.017062513157725334,0.005468723829835653,0.017062513157725334,-0.0053619337268173695,0.0159547658986412,0.08581222221255302
pit_b_224,10,32,32,low_score_extreme,0.017512517981231213,0.006177100818604231,0.017512517981231213,0.0023886626586318016,0.01550476107513532,0.08793215081095695
pit_b_224,11,32,32,low_score_extreme,0.015973659639712423,-0.0014485689462162554,0.015973659639712423,-0.0041857127216644585,0.01704361941665411,0.11225497350096703
pit_b_224,12,32,32,low_score_extreme,0.0035337472218088806,-0.0085079365526326,0.0035337472218088806,-0.016891122853849083,0.029483531834557652,0.15274634212255478
pit_b_224,13,32,32,low_score_extreme,0.01620466203894466,-0.0004890073323622346,0.01620466203894466,-0.0061469863867387176,0.01681261701742187,0.08931613713502884
pit_b_224,14,32,32,low_score_extreme,0.003761855768971145,-0.0010581755777820945,0.003761855768971145,-0.0013314815005287528,0.029255423287395388,0.16114696115255356
pit_b_224,15,32,32,low_score_extreme,0.02055669907713309,0.00030884152511134744,0.02055669907713309,-0.003957498993258923,0.012460579979233444,0.06835086643695831
pit_b_224,16,32,32,low_score_extreme,0.01867296191630885,0.0031495722359977663,0.01867296191630885,0.0008515309891663492,0.014344317140057683,0.09661443904042244
pit_b_224,17,32,32,low_score_extreme,0.01732718455605209,0.002928021363914013,0.01732718455605209,-0.0025379483122378588,0.015690094500314444,0.09408306330442429
pit_b_224,18,32,32,low_score_extreme,0.010687432426493615,-0.00557378662051633,0.010687432426493615,-0.009910567488986999,0.022329846629872918,0.13925368711352348
pit_b_224,19,32,32,low_score_extreme,0.006553517188876867,-0.0073804769199341536,0.006553517188876867,-0.012840653536841273,0.026463761867489666,0.13812462985515594
pit_b_224,20,32,32,low_score_extreme,0.016126253467518836,-0.006024553847964853,0.016126253467518836,-0.011242391949053854,0.016891025588847697,0.11140388250350952
pit_b_224,21,32,32,low_score_extreme,0.00891122716711834,-0.002730444015469402,0.00891122716711834,-0.010060790402349085,0.024106051889248192,0.13712318614125252
pit_b_224,22,32,32,low_score_extreme,0.0134213927667588,-0.00083120446652174,0.0134213927667588,-0.005544896004721522,0.019595886289607733,0.12389407679438591
pit_b_224,23,32,32,low_score_extreme,0.01842606207355857,-0.0001920729409903288,0.01842606207355857,-0.00894231186248362,0.014591216982807964,0.07642408460378647
pit_b_224,24,32,32,low_score_extreme,0.011092354368884116,-0.0014783306396566331,0.011092354368884116,-0.009426891978364438,0.021924924687482417,0.12869040668010712
pit_b_224,25,32,32,low_score_extreme,0.015648739819880575,-0.004100726509932429,0.015648739819880575,-0.007010414788965136,0.017368539236485958,0.12402333319187164
pit_b_224,26,32,32,low_score_extreme,0.01493926445255056,-0.004080775601323694,0.01493926445255056,-0.011668769118841738,0.018078014603815973,0.10363725200295448
pit_b_224,27,32,32,low_score_extreme,0.021265869319904596,-0.0009992364211939275,0.021265869319904596,-0.008263067284133285,0.011751409736461937,0.07905463874340057
pit_b_224,28,32,32,low_score_extreme,0.022330281499307603,0.002382707956712693,0.022330281499307603,-0.000586424779612571,0.01068699755705893,0.059828683733940125
pit_b_224,29,32,32,low_score_extreme,0.01632873376365751,0.0009110049577429891,0.01632873376365751,-0.0067831737687811255,0.016688545292709023,0.10153016448020935
pit_b_224,30,32,32,low_score_extreme,0.01695756276603788,0.00023577886167913675,0.01695756276603788,0.0007808787049725652,0.01605971629032865,0.0875270739197731
pit_b_224,31,32,32,low_score_extreme,0.015743869997095317,0.002532399201299995,0.015743869997095317,-0.0005873123300261796,0.017273409059271216,0.1056104265153408
