model,sample_index,image_name,phase_global_cosine,flip_global_cosine,phase_flip_gradient_cosine
vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,0.9974756240844727,0.9988782405853271,0.7757108211517334
vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,0.992403507232666,0.9970287084579468,0.06666179746389389
vit_base_patch16_224,2,ILSVRC2012_val_00037926.JPEG,0.9930681586265564,0.9993836283683777,0.16613641381263733
vit_base_patch16_224,3,ILSVRC2012_val_00037929.JPEG,0.9949722290039062,0.9990652799606323,0.45515966415405273
vit_base_patch16_224,4,ILSVRC2012_val_00038033.JPEG,0.9907572865486145,0.9989697933197021,-0.08236762881278992
vit_base_patch16_224,5,ILSVRC2012_val_00038096.JPEG,0.9898405075073242,0.9974641799926758,0.042958587408065796
vit_base_patch16_224,6,ILSVRC2012_val_00038110.JPEG,0.9978758096694946,0.9996531009674072,0.862769603729248
vit_base_patch16_224,7,ILSVRC2012_val_00038142.JPEG,0.9914696216583252,0.9992413520812988,0.011351452209055424
vit_base_patch16_224,8,ILSVRC2012_val_00038157.JPEG,0.9885473251342773,0.9985086917877197,-0.03292987495660782
vit_base_patch16_224,9,ILSVRC2012_val_00038221.JPEG,0.9954625964164734,0.9989635944366455,-0.1413881778717041
vit_base_patch16_224,10,ILSVRC2012_val_00038236.JPEG,0.9943168759346008,0.9990680813789368,0.14310863614082336
vit_base_patch16_224,11,ILSVRC2012_val_00038251.JPEG,0.9910885691642761,0.9980506300926208,0.02487700991332531
vit_base_patch16_224,12,ILSVRC2012_val_00038413.JPEG,0.9908855557441711,0.9987948536872864,0.052202921360731125
vit_base_patch16_224,13,ILSVRC2012_val_00038427.JPEG,0.9951928853988647,0.9977887272834778,0.004308450501412153
vit_base_patch16_224,14,ILSVRC2012_val_00038546.JPEG,0.9730812907218933,0.9948729276657104,0.12547138333320618
vit_base_patch16_224,15,ILSVRC2012_val_00038597.JPEG,0.9927567839622498,0.9991527795791626,0.1989864856004715
vit_base_patch16_224,16,ILSVRC2012_val_00038607.JPEG,0.9949532151222229,0.998933732509613,0.37297677993774414
vit_base_patch16_224,17,ILSVRC2012_val_00038678.JPEG,0.997732937335968,0.9994533658027649,0.20387530326843262
vit_base_patch16_224,18,ILSVRC2012_val_00038705.JPEG,0.9870510101318359,0.9975162148475647,0.014395011588931084
vit_base_patch16_224,19,ILSVRC2012_val_00038708.JPEG,0.9843656420707703,0.9987007975578308,0.12121981382369995
vit_base_patch16_224,20,ILSVRC2012_val_00038743.JPEG,0.9783821105957031,0.9993411302566528,-0.08225581049919128
vit_base_patch16_224,21,ILSVRC2012_val_00038986.JPEG,0.9761011004447937,0.9956803321838379,-0.09778375923633575
vit_base_patch16_224,22,ILSVRC2012_val_00039085.JPEG,0.9812668561935425,0.9890298843383789,-0.038448113948106766
vit_base_patch16_224,23,ILSVRC2012_val_00039106.JPEG,0.9973903298377991,0.9993745684623718,0.02171744778752327
vit_base_patch16_224,24,ILSVRC2012_val_00039130.JPEG,0.9932271242141724,0.9990232586860657,0.06345131248235703
vit_base_patch16_224,25,ILSVRC2012_val_00039253.JPEG,0.9968249201774597,0.999273419380188,0.49947360157966614
vit_base_patch16_224,26,ILSVRC2012_val_00039290.JPEG,0.9913362264633179,0.9978539943695068,0.4232499599456787
vit_base_patch16_224,27,ILSVRC2012_val_00039421.JPEG,0.994707465171814,0.9982213973999023,0.07150326669216156
vit_base_patch16_224,28,ILSVRC2012_val_00039426.JPEG,0.9987348318099976,0.9994264841079712,0.535893440246582
vit_base_patch16_224,29,ILSVRC2012_val_00039464.JPEG,0.9895028471946716,0.9973098635673523,0.3356468081474304
vit_base_patch16_224,30,ILSVRC2012_val_00039490.JPEG,0.9983406662940979,0.9996312856674194,0.2193121463060379
vit_base_patch16_224,31,ILSVRC2012_val_00039737.JPEG,0.9771072268486023,0.9989399909973145,-0.021854039281606674
vit_base_patch16_224,32,ILSVRC2012_val_00039746.JPEG,0.9843595027923584,0.9958124756813049,9.16162971407175e-05
vit_base_patch16_224,33,ILSVRC2012_val_00039748.JPEG,0.9562451243400574,0.997539758682251,-0.21065163612365723
vit_base_patch16_224,34,ILSVRC2012_val_00039815.JPEG,0.9806050658226013,0.9973998665809631,0.01604378968477249
vit_base_patch16_224,35,ILSVRC2012_val_00039842.JPEG,0.995204508304596,0.998921811580658,0.7619056701660156
vit_base_patch16_224,36,ILSVRC2012_val_00039892.JPEG,0.9897925853729248,0.99653160572052,0.1899372935295105
vit_base_patch16_224,37,ILSVRC2012_val_00039939.JPEG,0.9901165962219238,0.9988374710083008,0.07759205996990204
vit_base_patch16_224,38,ILSVRC2012_val_00040016.JPEG,0.9951987862586975,0.9988459348678589,0.035598378628492355
vit_base_patch16_224,39,ILSVRC2012_val_00040140.JPEG,0.9961707592010498,0.9987794756889343,0.10999733209609985
vit_base_patch16_224,40,ILSVRC2012_val_00040221.JPEG,0.9877268075942993,0.9975409507751465,0.13718603551387787
vit_base_patch16_224,41,ILSVRC2012_val_00040291.JPEG,0.9959542751312256,0.9992383122444153,-0.09268694370985031
vit_base_patch16_224,42,ILSVRC2012_val_00040345.JPEG,0.988991379737854,0.9973158836364746,-0.14732325077056885
vit_base_patch16_224,43,ILSVRC2012_val_00040407.JPEG,0.9760521054267883,0.9931237697601318,0.33318015933036804
vit_base_patch16_224,44,ILSVRC2012_val_00040452.JPEG,0.9967478513717651,0.9995460510253906,0.016949957236647606
vit_base_patch16_224,45,ILSVRC2012_val_00040457.JPEG,0.9583717584609985,0.9894230365753174,0.44250568747520447
vit_base_patch16_224,46,ILSVRC2012_val_00040494.JPEG,0.9959076642990112,0.9994579553604126,0.22001603245735168
vit_base_patch16_224,47,ILSVRC2012_val_00040541.JPEG,0.9968187212944031,0.999014139175415,-0.015264904126524925
vit_base_patch16_224,48,ILSVRC2012_val_00040601.JPEG,0.9854961633682251,0.9961455464363098,0.8163949847221375
vit_base_patch16_224,49,ILSVRC2012_val_00040634.JPEG,0.9988222122192383,0.9996750950813293,0.08183274418115616
vit_base_patch16_224,50,ILSVRC2012_val_00040798.JPEG,0.9972025156021118,0.9991588592529297,0.09058572351932526
vit_base_patch16_224,51,ILSVRC2012_val_00040930.JPEG,0.9965204000473022,0.9990101456642151,0.3255549967288971
vit_base_patch16_224,52,ILSVRC2012_val_00040952.JPEG,0.967080295085907,0.9962655305862427,-0.2902924418449402
vit_base_patch16_224,53,ILSVRC2012_val_00040966.JPEG,0.9938012957572937,0.9989086389541626,-0.35023629665374756
vit_base_patch16_224,54,ILSVRC2012_val_00041010.JPEG,0.9987045526504517,0.9997301697731018,0.19359421730041504
vit_base_patch16_224,55,ILSVRC2012_val_00041063.JPEG,0.9908354878425598,0.998448371887207,-0.18878942728042603
vit_base_patch16_224,56,ILSVRC2012_val_00041080.JPEG,0.9960870742797852,0.9990354776382446,0.0172943826764822
vit_base_patch16_224,57,ILSVRC2012_val_00041241.JPEG,0.9979886412620544,0.9996163249015808,0.004756404086947441
vit_base_patch16_224,58,ILSVRC2012_val_00041354.JPEG,0.9928543567657471,0.9971211552619934,-0.2248983085155487
vit_base_patch16_224,59,ILSVRC2012_val_00041406.JPEG,0.9888443946838379,0.9984796047210693,0.05143874138593674
vit_base_patch16_224,60,ILSVRC2012_val_00041468.JPEG,0.9804444909095764,0.9958635568618774,0.5262905955314636
vit_base_patch16_224,61,ILSVRC2012_val_00041474.JPEG,0.995780348777771,0.9995683431625366,0.19556701183319092
vit_base_patch16_224,62,ILSVRC2012_val_00041483.JPEG,0.9918663501739502,0.9964454174041748,0.030315564945340157
vit_base_patch16_224,63,ILSVRC2012_val_00041486.JPEG,0.9858695268630981,0.9965307712554932,0.37669774889945984
cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,0.9921634197235107,0.9960678815841675,0.9597612023353577
cait_s24_224,1,ILSVRC2012_val_00037916.JPEG,0.9838556051254272,0.9966325163841248,0.36089247465133667
cait_s24_224,2,ILSVRC2012_val_00037926.JPEG,0.9735521078109741,0.9932903051376343,0.22232665121555328
cait_s24_224,3,ILSVRC2012_val_00037929.JPEG,0.970634937286377,0.9964219331741333,0.8537883758544922
cait_s24_224,4,ILSVRC2012_val_00038033.JPEG,0.9811635613441467,0.99683678150177,0.15443295240402222
cait_s24_224,5,ILSVRC2012_val_00038096.JPEG,0.9821519255638123,0.9974920749664307,-0.3264041543006897
cait_s24_224,6,ILSVRC2012_val_00038110.JPEG,0.9890683889389038,0.9954361915588379,-0.010102628730237484
cait_s24_224,7,ILSVRC2012_val_00038142.JPEG,0.9751458764076233,0.9909362196922302,-0.03001696616411209
cait_s24_224,8,ILSVRC2012_val_00038157.JPEG,0.9873344302177429,0.9966915249824524,-0.36710238456726074
cait_s24_224,9,ILSVRC2012_val_00038221.JPEG,0.9829875230789185,0.9939094185829163,0.8194876909255981
cait_s24_224,10,ILSVRC2012_val_00038236.JPEG,0.967270016670227,0.9966503977775574,0.41839930415153503
cait_s24_224,11,ILSVRC2012_val_00038251.JPEG,0.966640830039978,0.9955503940582275,0.19072341918945312
cait_s24_224,12,ILSVRC2012_val_00038413.JPEG,0.9806867837905884,0.9954454302787781,0.7602421045303345
