model,sample_index,image_name,residual_effective_rank,top_eigenvalue_fraction,top3_eigenvalue_fraction,top_mode_semantic_fraction,top3_mode_semantic_fraction,mean_residual_l2,semantic_covariance_l2
vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,17.086814880371094,0.1729065477848053,0.28969141840934753,0.008180518634617329,0.37387123703956604,0.527221143245697,0.005552030634135008
vit_base_patch16_224,1,ILSVRC2012_val_00037916.JPEG,16.512929916381836,0.1946643441915512,0.3103545010089874,0.14763003587722778,0.17353306710720062,0.35076823830604553,0.0025929498951882124
vit_base_patch16_224,2,ILSVRC2012_val_00037926.JPEG,17.829912185668945,0.14191223680973053,0.2526661157608032,0.02482573501765728,0.27438491582870483,0.28832340240478516,0.004080004990100861
vit_base_patch16_224,3,ILSVRC2012_val_00037929.JPEG,18.090496063232422,0.12525713443756104,0.25297513604164124,0.22215192019939423,0.2648546099662781,0.19769230484962463,0.003042548894882202
vit_base_patch16_224,4,ILSVRC2012_val_00038033.JPEG,17.931442260742188,0.12942025065422058,0.26741456985473633,0.05417180806398392,0.600531280040741,0.6659314632415771,0.009641204960644245
vit_base_patch16_224,5,ILSVRC2012_val_00038096.JPEG,18.10637092590332,0.11618653684854507,0.2620471715927124,0.02795485034584999,0.46075883507728577,0.4832296371459961,0.004333507735282183
vit_base_patch16_224,6,ILSVRC2012_val_00038110.JPEG,17.98891830444336,0.1343868374824524,0.24564330279827118,0.5962958335876465,0.6282339096069336,0.1959458887577057,0.0034734883811324835
vit_base_patch16_224,7,ILSVRC2012_val_00038142.JPEG,12.345314979553223,0.33746540546417236,0.44728580117225647,0.5136645436286926,0.5809937119483948,0.4054306447505951,0.006167019251734018
vit_base_patch16_224,8,ILSVRC2012_val_00038157.JPEG,17.2233829498291,0.1651824414730072,0.2855472266674042,0.020950542762875557,0.5754372477531433,0.17491470277309418,0.002739457180723548
vit_base_patch16_224,9,ILSVRC2012_val_00038221.JPEG,10.03575611114502,0.423444539308548,0.5325487852096558,0.003021991578862071,0.14254654943943024,0.34534168243408203,0.0010780711891129613
vit_base_patch16_224,10,ILSVRC2012_val_00038236.JPEG,17.622434616088867,0.1504298746585846,0.2709653079509735,0.008317379280924797,0.19772294163703918,0.35229960083961487,0.002188856014981866
vit_base_patch16_224,11,ILSVRC2012_val_00038251.JPEG,16.986013412475586,0.16872411966323853,0.29458266496658325,0.7167186141014099,0.7394372224807739,0.46671542525291443,0.006762010511010885
vit_base_patch16_224,12,ILSVRC2012_val_00038413.JPEG,14.352234840393066,0.26791951060295105,0.39391863346099854,0.8356531858444214,0.9667528867721558,0.7709797024726868,0.013066736049950123
vit_base_patch16_224,13,ILSVRC2012_val_00038427.JPEG,18.585834503173828,0.09831403940916061,0.21648578345775604,0.1216934323310852,0.14407578110694885,0.17870502173900604,0.0028801679145544767
vit_base_patch16_224,14,ILSVRC2012_val_00038546.JPEG,11.169113159179688,0.36432528495788574,0.4742119014263153,0.22339755296707153,0.25711560249328613,2.5837504863739014,0.002600420033559203
vit_base_patch16_224,15,ILSVRC2012_val_00038597.JPEG,15.993066787719727,0.21653102338314056,0.32998013496398926,0.18148517608642578,0.19024518132209778,0.6736816763877869,0.0031675295904278755
vit_base_patch16_224,16,ILSVRC2012_val_00038607.JPEG,15.893556594848633,0.22160960733890533,0.33394527435302734,0.003258243203163147,0.26827704906463623,0.4224119186401367,0.0015102243050932884
vit_base_patch16_224,17,ILSVRC2012_val_00038678.JPEG,15.075752258300781,0.24776214361190796,0.36234959959983826,0.03352447226643562,0.04787052795290947,0.2976036071777344,0.005611201282590628
vit_base_patch16_224,18,ILSVRC2012_val_00038705.JPEG,15.537652969360352,0.21968092024326324,0.36127233505249023,0.002756284549832344,0.24370534718036652,0.8741446733474731,0.002599491737782955
vit_base_patch16_224,19,ILSVRC2012_val_00038708.JPEG,16.295337677001953,0.1999599039554596,0.32789215445518494,0.2581599950790405,0.7577177882194519,0.39691162109375,0.00829974003136158
vit_base_patch16_224,20,ILSVRC2012_val_00038743.JPEG,12.22987174987793,0.33003199100494385,0.45344778895378113,0.008448269218206406,0.06562819331884384,0.6464649438858032,0.0028724614530801773
vit_base_patch16_224,21,ILSVRC2012_val_00038986.JPEG,13.504356384277344,0.284802109003067,0.41715532541275024,0.03177541494369507,0.40078359842300415,0.5195248126983643,0.0031864915508776903
vit_base_patch16_224,22,ILSVRC2012_val_00039085.JPEG,15.540639877319336,0.22869233787059784,0.3560345768928528,0.802060067653656,0.8383551836013794,0.9921416640281677,0.014710512943565845
vit_base_patch16_224,23,ILSVRC2012_val_00039106.JPEG,17.771827697753906,0.14428134262561798,0.25539910793304443,0.03639018535614014,0.054432712495326996,0.34141016006469727,0.002340210136026144
vit_base_patch16_224,24,ILSVRC2012_val_00039130.JPEG,18.784719467163086,0.08365660905838013,0.20057636499404907,0.004122085403650999,0.3478064239025116,0.577104926109314,0.0024966378696262836
vit_base_patch16_224,25,ILSVRC2012_val_00039253.JPEG,18.10088539123535,0.1245710700750351,0.2534390091896057,0.005327568389475346,0.32869166135787964,0.5599753856658936,0.004875232931226492
vit_base_patch16_224,26,ILSVRC2012_val_00039290.JPEG,15.291487693786621,0.2366461604833603,0.34968727827072144,0.01977907121181488,0.2328745573759079,0.2625105082988739,0.0036349024157971144
vit_base_patch16_224,27,ILSVRC2012_val_00039421.JPEG,18.548891067504883,0.09887886792421341,0.2238263189792633,0.0007234150543808937,0.14343732595443726,0.9219760894775391,0.0017537792446091771
vit_base_patch16_224,28,ILSVRC2012_val_00039426.JPEG,11.65295696258545,0.36985132098197937,0.47164496779441833,0.6013904213905334,0.6875585317611694,0.3209567666053772,0.00507610896602273
vit_base_patch16_224,29,ILSVRC2012_val_00039464.JPEG,18.504669189453125,0.10224967449903488,0.21836704015731812,0.024387072771787643,0.1091943010687828,0.5462509989738464,0.0016138176433742046
vit_base_patch16_224,30,ILSVRC2012_val_00039490.JPEG,13.075590133666992,0.3188230097293854,0.42158204317092896,0.0731370821595192,0.4233447015285492,0.20676207542419434,0.005596706178039312
vit_base_patch16_224,31,ILSVRC2012_val_00039737.JPEG,18.47827911376953,0.1035943478345871,0.22743913531303406,0.03704603761434555,0.06120247021317482,0.7457658648490906,0.002328254282474518
vit_base_patch16_224,32,ILSVRC2012_val_00039746.JPEG,13.31229305267334,0.29278162121772766,0.4045148193836212,0.011224259622395039,0.37086600065231323,0.30897092819213867,0.0024906073231250048
vit_base_patch16_224,33,ILSVRC2012_val_00039748.JPEG,13.476123809814453,0.2867085933685303,0.4095599949359894,0.41402408480644226,0.4909048080444336,0.6663891673088074,0.005510910879820585
vit_base_patch16_224,34,ILSVRC2012_val_00039815.JPEG,18.29350471496582,0.11678505688905716,0.23911496996879578,0.07596983015537262,0.16893813014030457,0.20873184502124786,0.002656240016222
vit_base_patch16_224,35,ILSVRC2012_val_00039842.JPEG,17.558645248413086,0.15002524852752686,0.27430832386016846,0.4595424234867096,0.5593145489692688,0.153035506606102,0.0062409029342234135
vit_base_patch16_224,36,ILSVRC2012_val_00039892.JPEG,13.603118896484375,0.2978821098804474,0.4093915522098541,0.5850967764854431,0.9000728726387024,0.14227549731731415,0.016721034422516823
vit_base_patch16_224,37,ILSVRC2012_val_00039939.JPEG,13.316288948059082,0.3069608211517334,0.41929417848587036,0.0022289908956736326,0.03558582440018654,1.5815222263336182,0.0021970653906464577
vit_base_patch16_224,38,ILSVRC2012_val_00040016.JPEG,16.603775024414062,0.1934547871351242,0.30579331517219543,0.018947290256619453,0.1373777836561203,0.3451631963253021,0.0015773605555295944
vit_base_patch16_224,39,ILSVRC2012_val_00040140.JPEG,14.450157165527344,0.26489612460136414,0.3870527148246765,0.5617083311080933,0.6241330504417419,0.8090248107910156,0.009937149472534657
vit_base_patch16_224,40,ILSVRC2012_val_00040221.JPEG,18.756528854370117,0.08101822435855865,0.20481666922569275,0.2769067585468292,0.3218870162963867,0.23599472641944885,0.0022138471249490976
