source_model,target_model,direction_kind,sample_index,image_name,same_image_cosine,mismatched_image_cosine,same_minus_mismatched_cosine,same_image_sign_agreement,mismatched_image_sign_agreement
vit_base_patch16_224,cait_s24_224,semantic_covariance,0,ILSVRC2012_val_00037758.JPEG,0.0029763486236333847,-0.0018758877413347363,0.004852236248552799,0.4949243366718292,0.4941570460796356
vit_base_patch16_224,cait_s24_224,semantic_covariance,1,ILSVRC2012_val_00037916.JPEG,0.004148483742028475,-0.001195268239825964,0.005343751981854439,0.4952996075153351,0.49552232027053833
vit_base_patch16_224,cait_s24_224,semantic_covariance,2,ILSVRC2012_val_00037926.JPEG,0.0029540075920522213,-0.003102951217442751,0.006056958809494972,0.48872146010398865,0.48964908719062805
vit_base_patch16_224,cait_s24_224,semantic_covariance,3,ILSVRC2012_val_00037929.JPEG,-0.005758014507591724,0.0009530412498861551,-0.006711055524647236,0.4689190685749054,0.489768385887146
vit_base_patch16_224,cait_s24_224,semantic_covariance,4,ILSVRC2012_val_00038033.JPEG,0.025458861142396927,-0.007837028242647648,0.033295888453722,0.5002158880233765,0.46817460656166077
vit_base_patch16_224,cait_s24_224,semantic_covariance,5,ILSVRC2012_val_00038096.JPEG,-0.00884019024670124,-0.0013031582348048687,-0.007537032011896372,0.49145978689193726,0.49472180008888245
vit_base_patch16_224,cait_s24_224,semantic_covariance,6,ILSVRC2012_val_00038110.JPEG,0.009022455662488937,-0.008970590308308601,0.01799304597079754,0.4928213059902191,0.4932335913181305
vit_base_patch16_224,cait_s24_224,semantic_covariance,7,ILSVRC2012_val_00038142.JPEG,0.0043386491015553474,-0.011754021048545837,0.01609266921877861,0.5028999447822571,0.49214038252830505
vit_base_patch16_224,cait_s24_224,semantic_covariance,8,ILSVRC2012_val_00038157.JPEG,0.003999198786914349,0.0009180472698062658,0.0030811515171080828,0.49285462498664856,0.49382805824279785
vit_base_patch16_224,cait_s24_224,semantic_covariance,9,ILSVRC2012_val_00038221.JPEG,-0.0007993533508852124,0.0027084616012871265,-0.003507814835757017,0.4858418405056,0.48093241453170776
vit_base_patch16_224,cait_s24_224,semantic_covariance,10,ILSVRC2012_val_00038236.JPEG,-0.012275472283363342,0.005014530383050442,-0.01729000359773636,0.486148476600647,0.4931870102882385
vit_base_patch16_224,cait_s24_224,semantic_covariance,11,ILSVRC2012_val_00038251.JPEG,0.03344663232564926,-0.007860063575208187,0.04130669683218002,0.5106296539306641,0.4905760586261749
vit_base_patch16_224,cait_s24_224,semantic_covariance,12,ILSVRC2012_val_00038413.JPEG,0.0056199682876467705,0.00425646360963583,0.0013635046780109406,0.49728283286094666,0.4944727122783661
vit_base_patch16_224,cait_s24_224,semantic_covariance,13,ILSVRC2012_val_00038427.JPEG,-0.0010200797114521265,-0.004686505533754826,0.003666425822302699,0.487373024225235,0.4855654537677765
vit_base_patch16_224,cait_s24_224,semantic_covariance,14,ILSVRC2012_val_00038546.JPEG,0.01943366229534149,0.004399578087031841,0.01503408420830965,0.5006510615348816,0.4888288080692291
vit_base_patch16_224,cait_s24_224,semantic_covariance,15,ILSVRC2012_val_00038597.JPEG,-0.015330242924392223,-0.0013639295939356089,-0.013966313563287258,0.49052944779396057,0.4929945170879364
vit_base_patch16_224,cait_s24_224,semantic_covariance,16,ILSVRC2012_val_00038607.JPEG,0.0308286864310503,0.00844583846628666,0.02238284796476364,0.4873195290565491,0.48730555176734924
vit_base_patch16_224,cait_s24_224,semantic_covariance,17,ILSVRC2012_val_00038678.JPEG,-0.004380308091640472,0.005896729417145252,-0.010277037508785725,0.48838213086128235,0.4958910346031189
vit_base_patch16_224,cait_s24_224,semantic_covariance,18,ILSVRC2012_val_00038705.JPEG,0.07196401059627533,-0.0004276665858924389,0.07239167392253876,0.51591557264328,0.4849535822868347
vit_base_patch16_224,cait_s24_224,semantic_covariance,19,ILSVRC2012_val_00038708.JPEG,0.0488395094871521,0.00414631050080061,0.044693198055028915,0.5021258592605591,0.4949839115142822
vit_base_patch16_224,cait_s24_224,semantic_covariance,20,ILSVRC2012_val_00038743.JPEG,0.05185637250542641,-0.0033658884931355715,0.05522226169705391,0.5196048617362976,0.4943498373031616
vit_base_patch16_224,cait_s24_224,semantic_covariance,21,ILSVRC2012_val_00038986.JPEG,0.007886255159974098,0.002284032991155982,0.0056022219359874725,0.4909578859806061,0.49787411093711853
vit_base_patch16_224,cait_s24_224,semantic_covariance,22,ILSVRC2012_val_00039085.JPEG,0.03020239993929863,-0.008126217871904373,0.038328617811203,0.5079853534698486,0.49630630016326904
vit_base_patch16_224,cait_s24_224,semantic_covariance,23,ILSVRC2012_val_00039106.JPEG,0.016110584139823914,-0.0004311063385102898,0.01654168963432312,0.49164512753486633,0.49403074383735657
vit_base_patch16_224,cait_s24_224,semantic_covariance,24,ILSVRC2012_val_00039130.JPEG,0.010541152209043503,-0.009387259371578693,0.01992841064929962,0.498412162065506,0.487815260887146
vit_base_patch16_224,cait_s24_224,semantic_covariance,25,ILSVRC2012_val_00039253.JPEG,0.058108389377593994,-0.0015257523627951741,0.059634141623973846,0.5084834694862366,0.4943198561668396
vit_base_patch16_224,cait_s24_224,semantic_covariance,26,ILSVRC2012_val_00039290.JPEG,-0.007198613602668047,-0.0024090693332254887,-0.004789544269442558,0.49400752782821655,0.4959508776664734
vit_base_patch16_224,cait_s24_224,semantic_covariance,27,ILSVRC2012_val_00039421.JPEG,0.011501045897603035,0.0022280944976955652,0.009272951632738113,0.49715983867645264,0.4944261312484741
vit_base_patch16_224,cait_s24_224,semantic_covariance,28,ILSVRC2012_val_00039426.JPEG,-0.005220727063715458,-0.001990589313209057,-0.003230137750506401,0.4882962107658386,0.48939618468284607
vit_base_patch16_224,cait_s24_224,semantic_covariance,29,ILSVRC2012_val_00039464.JPEG,0.020996980369091034,0.004440745804458857,0.016556235030293465,0.49891039729118347,0.49348559975624084
vit_base_patch16_224,cait_s24_224,semantic_covariance,30,ILSVRC2012_val_00039490.JPEG,0.022038474678993225,-0.001147303730249405,0.02318577840924263,0.4926939010620117,0.4926055371761322
vit_base_patch16_224,cait_s24_224,semantic_covariance,31,ILSVRC2012_val_00039737.JPEG,-0.0027767650317400694,0.002625343156978488,-0.005402108188718557,0.49396413564682007,0.4877348840236664
vit_base_patch16_224,cait_s24_224,semantic_covariance,32,ILSVRC2012_val_00039746.JPEG,-0.004807085730135441,0.004723833873867989,-0.00953091960400343,0.4914827346801758,0.4937416911125183
vit_base_patch16_224,cait_s24_224,semantic_covariance,33,ILSVRC2012_val_00039748.JPEG,-0.008737475611269474,-0.00354289123788476,-0.005194584373384714,0.4868285655975342,0.49404409527778625
vit_base_patch16_224,cait_s24_224,semantic_covariance,34,ILSVRC2012_val_00039815.JPEG,-0.006054244935512543,0.0032058043871074915,-0.00926004908978939,0.48847946524620056,0.49334272742271423
vit_base_patch16_224,cait_s24_224,semantic_covariance,35,ILSVRC2012_val_00039842.JPEG,-0.0060018375515937805,0.00044440082274377346,-0.006446238607168198,0.4944128394126892,0.4955190122127533
vit_base_patch16_224,cait_s24_224,semantic_covariance,36,ILSVRC2012_val_00039892.JPEG,-0.0035721464082598686,-0.002888223621994257,-0.0006839227862656116,0.49405747652053833,0.4942501187324524
vit_base_patch16_224,cait_s24_224,semantic_covariance,37,ILSVRC2012_val_00039939.JPEG,0.0003040097653865814,0.0008278880850411952,-0.0005238783196546137,0.49776771664619446,0.49230992794036865
vit_base_patch16_224,cait_s24_224,semantic_covariance,38,ILSVRC2012_val_00040016.JPEG,0.018281547352671623,0.005457131192088127,0.012824416160583496,0.49026980996131897,0.4893569052219391
vit_base_patch16_224,cait_s24_224,semantic_covariance,39,ILSVRC2012_val_00040140.JPEG,0.005397520028054714,-0.0038227071054279804,0.009220227599143982,0.49619001150131226,0.49368879199028015
vit_base_patch16_224,cait_s24_224,semantic_covariance,40,ILSVRC2012_val_00040221.JPEG,0.00859963521361351,0.006271661724895239,0.0023279734887182713,0.49257588386535645,0.49314039945602417
vit_base_patch16_224,cait_s24_224,semantic_covariance,41,ILSVRC2012_val_00040291.JPEG,0.006064817775040865,-0.0013264758745208383,0.007391293533146381,0.49404746294021606,0.4944196343421936
vit_base_patch16_224,cait_s24_224,semantic_covariance,42,ILSVRC2012_val_00040345.JPEG,0.017684943974018097,0.001820409670472145,0.015864534303545952,0.5002192258834839,0.49747881293296814
vit_base_patch16_224,cait_s24_224,semantic_covariance,43,ILSVRC2012_val_00040407.JPEG,0.012168521992862225,0.002986436476930976,0.009182085283100605,0.5015445947647095,0.4946255087852478
vit_base_patch16_224,cait_s24_224,semantic_covariance,44,ILSVRC2012_val_00040452.JPEG,0.04293538257479668,0.002979345852509141,0.03995603695511818,0.5194717049598694,0.4965022802352905
vit_base_patch16_224,cait_s24_224,semantic_covariance,45,ILSVRC2012_val_00040457.JPEG,0.012924292124807835,-0.001828228821977973,0.014752521179616451,0.49798035621643066,0.4972696006298065
vit_base_patch16_224,cait_s24_224,semantic_covariance,46,ILSVRC2012_val_00040494.JPEG,0.011732582002878189,-0.00588672049343586,0.01761930249631405,0.48641717433929443,0.4853418171405792
vit_base_patch16_224,cait_s24_224,semantic_covariance,47,ILSVRC2012_val_00040541.JPEG,0.010671491734683514,-0.0025980910286307335,0.013269582763314247,0.4843132197856903,0.4797036349773407
vit_base_patch16_224,cait_s24_224,semantic_covariance,48,ILSVRC2012_val_00040601.JPEG,0.0027880719862878323,-0.0018239078344777226,0.004611979704350233,0.4930342733860016,0.4894697070121765
vit_base_patch16_224,cait_s24_224,semantic_covariance,49,ILSVRC2012_val_00040634.JPEG,0.02020454779267311,-0.0021703611128032207,0.02237490937113762,0.494455486536026,0.49407732486724854
vit_base_patch16_224,cait_s24_224,semantic_covariance,50,ILSVRC2012_val_00040798.JPEG,-0.01188651006668806,0.004860975313931704,-0.01674748584628105,0.49112048745155334,0.49586111307144165
vit_base_patch16_224,cait_s24_224,semantic_covariance,51,ILSVRC2012_val_00040930.JPEG,0.07865221053361893,0.00026884328690357506,0.07838336378335953,0.5197340250015259,0.4933699071407318
vit_base_patch16_224,cait_s24_224,semantic_covariance,52,ILSVRC2012_val_00040952.JPEG,0.06074102967977524,0.0003176563186571002,0.06042337417602539,0.5002956986427307,0.49110114574432373
