source_model,target_model,condition,sample_index,image_name,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase
cait_s24_224,vit_base_patch16_224,uniform_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.01941344514489174,0.019287046045064926,0.5096393823623657,0.5109215378761292,0.7651495933532715,0.5984486937522888
cait_s24_224,vit_base_patch16_224,uniform_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.0025173439644277096,0.0007870182162150741,0.5081512928009033,0.5096128582954407,-0.0012159347534179688,0.006437644362449646
cait_s24_224,vit_base_patch16_224,global_preserve_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.019924387335777283,0.021271057426929474,0.5095995664596558,0.5113799571990967,0.5061521530151367,0.37393540143966675
cait_s24_224,vit_base_patch16_224,global_preserve_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.01284478884190321,0.014380557462573051,0.5055803656578064,0.5069023966789246,-0.013682365417480469,0.002394251525402069
cait_s24_224,vit_base_patch16_224,route_balance_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.019185174256563187,0.019344059750437737,0.5091677308082581,0.510177493095398,0.7034463882446289,0.5167755484580994
cait_s24_224,vit_base_patch16_224,route_balance_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.0017561998683959246,-0.00024425750598311424,0.508397102355957,0.5090813636779785,-0.00589752197265625,0.006243027746677399
cait_s24_224,vit_base_patch16_224,semantic_equivalent_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.019046064466238022,0.020541023463010788,0.5093072652816772,0.5111607313156128,0.474881649017334,0.3885689377784729
cait_s24_224,vit_base_patch16_224,semantic_equivalent_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.012977821752429008,0.014440199360251427,0.5057929158210754,0.506649911403656,-0.008017539978027344,0.0030458346009254456
cait_s24_224,vit_base_patch16_224,shuffled_semantic_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.019991831853985786,0.021352974697947502,0.5097257494926453,0.5115061402320862,0.5070314407348633,0.37069302797317505
cait_s24_224,vit_base_patch16_224,shuffled_semantic_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.013009065762162209,0.014606143347918987,0.5056866407394409,0.5069488883018494,-0.0325164794921875,0.000903107225894928
cait_s24_224,vit_base_patch16_224,semantic_equivalent_feature_gaussian,0,ILSVRC2012_val_00031361.JPEG,True,0.0045744250528514385,0.0038036121986806393,0.5065037608146667,0.5070019960403442,0.41588592529296875,0.28439027070999146
cait_s24_224,vit_base_patch16_224,semantic_equivalent_feature_gaussian,1,ILSVRC2012_val_00031410.JPEG,True,-0.007333250250667334,-0.006683513522148132,0.5086429119110107,0.5098055005073547,0.10178279876708984,0.012396827340126038
cait_s24_224,vit_base_patch16_224,uniform_opponent,2,ILSVRC2012_val_00031472.JPEG,True,-0.010167788714170456,-0.009437913075089455,0.5020992755889893,0.5013951063156128,0.2525920867919922,0.0984351634979248
