source_model,condition,sample_index,image_name,preserved_view_fraction,mean_route_distance,mean_global_cosine,mean_view_js,weight_entropy,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
cait_s24_224,uniform_opponent,0,ILSVRC2012_val_00031361.JPEG,0.0,0.4715560972690582,0.8740442395210266,0.013340570032596588,2.995732307434082,0.04140789806842804,0.2559173107147217,0.5855857133865356,19.78293800354004
cait_s24_224,uniform_opponent,1,ILSVRC2012_val_00031410.JPEG,0.0,0.22018365561962128,0.935895562171936,0.0069359722547233105,2.995732307434082,0.032736945897340775,0.271815687417984,0.5746468901634216,19.78092384338379
cait_s24_224,uniform_opponent,2,ILSVRC2012_val_00031472.JPEG,0.0,0.42955103516578674,0.95660799741745,0.008624720387160778,2.995732307434082,-0.00918608158826828,0.22691486775875092,0.5593949556350708,19.949609756469727
cait_s24_224,uniform_opponent,3,ILSVRC2012_val_00031495.JPEG,0.0,0.5210561156272888,0.9015828371047974,0.028182029724121094,2.995732307434082,0.03180035948753357,0.24434463679790497,0.5578919053077698,19.905969619750977
cait_s24_224,uniform_opponent,4,ILSVRC2012_val_00031548.JPEG,0.0,0.6733724474906921,0.8905496597290039,0.016367673873901367,2.995732307434082,0.011069025844335556,0.3399624228477478,0.5871087312698364,18.271100997924805
cait_s24_224,uniform_opponent,5,ILSVRC2012_val_00031586.JPEG,0.0,0.4933622479438782,0.9510408639907837,0.018100081011652946,2.995732307434082,0.04343441501259804,0.2621174454689026,0.5773968696594238,19.830114364624023
cait_s24_224,uniform_opponent,6,ILSVRC2012_val_00031588.JPEG,0.75,0.38177040219306946,0.9814683794975281,0.0016808508662506938,2.995732307434082,0.035307466983795166,0.1962653249502182,0.5742366909980774,19.924631118774414
cait_s24_224,uniform_opponent,7,ILSVRC2012_val_00031593.JPEG,1.0,0.1965000033378601,0.9905597567558289,0.0003130920813418925,2.995732307434082,0.012732314877212048,0.2076132744550705,0.5903851985931396,19.91329002380371
cait_s24_224,uniform_opponent,8,ILSVRC2012_val_00031629.JPEG,0.45000001788139343,0.2811122536659241,0.9767808318138123,0.004658724647015333,2.995732307434082,-0.0077699339017271996,0.16014333069324493,0.558918297290802,19.9540958404541
cait_s24_224,uniform_opponent,9,ILSVRC2012_val_00031647.JPEG,0.0,0.21717853844165802,0.9691368937492371,0.0035526962019503117,2.995732307434082,0.016845613718032837,0.25732967257499695,0.579876184463501,19.740215301513672
cait_s24_224,uniform_opponent,10,ILSVRC2012_val_00031670.JPEG,0.0,0.0918724462389946,0.9533849954605103,0.005589715205132961,2.995732307434082,0.04195335507392883,0.2631020247936249,0.5853744745254517,19.71626853942871
cait_s24_224,uniform_opponent,11,ILSVRC2012_val_00031686.JPEG,0.550000011920929,0.49035200476646423,0.9709936380386353,0.01245154719799757,2.995732307434082,0.00977843813598156,0.2422855645418167,0.5934008955955505,19.83639907836914
cait_s24_224,uniform_opponent,12,ILSVRC2012_val_00031762.JPEG,0.0,0.24172960221767426,0.9459859728813171,0.028885623440146446,2.995732307434082,0.31045645475387573,0.4221950173377991,0.602826714515686,16.73153305053711
cait_s24_224,uniform_opponent,13,ILSVRC2012_val_00031783.JPEG,0.0,0.28347960114479065,0.9570981860160828,0.010032172314822674,2.995732307434082,0.21495182812213898,0.43381085991859436,0.6031283140182495,15.508493423461914
cait_s24_224,uniform_opponent,14,ILSVRC2012_val_00031785.JPEG,1.0,0.19880612194538116,0.9891899228096008,0.0005697958986274898,2.995732307434082,0.06315010786056519,0.23510971665382385,0.5877292156219482,19.849044799804688
cait_s24_224,uniform_opponent,15,ILSVRC2012_val_00031789.JPEG,0.10000000149011612,0.4582653045654297,0.9609243273735046,0.006302667316049337,2.995732307434082,0.09896162152290344,0.20169559121131897,0.5884726047515869,19.73395538330078
cait_s24_224,uniform_opponent,16,ILSVRC2012_val_00031922.JPEG,1.0,0.41013264656066895,0.9879875183105469,0.0033317282795906067,2.995732307434082,-0.03327262029051781,0.2302662432193756,0.5647709965705872,19.86626434326172
cait_s24_224,uniform_opponent,17,ILSVRC2012_val_00031927.JPEG,0.949999988079071,0.5404693484306335,0.9863725900650024,0.0031000105664134026,2.995732307434082,0.024265561252832413,0.22374168038368225,0.5559819340705872,19.951393127441406
cait_s24_224,uniform_opponent,18,ILSVRC2012_val_00032032.JPEG,0.0,0.07506121695041656,0.9164360165596008,0.034709420055150986,2.995732307434082,0.1431029736995697,0.40060505270957947,0.593434751033783,17.797176361083984
cait_s24_224,uniform_opponent,19,ILSVRC2012_val_00032039.JPEG,0.0,0.32891836762428284,0.8951191902160645,0.01064483355730772,2.995732307434082,0.014593337662518024,0.2952202260494232,0.5745163559913635,19.563461303710938
cait_s24_224,uniform_opponent,20,ILSVRC2012_val_00032046.JPEG,0.6500000357627869,0.1511683613061905,0.9821498990058899,0.0008565913885831833,2.995732307434082,0.03734038397669792,0.2036132663488388,0.5809400677680969,19.83116340637207
cait_s24_224,uniform_opponent,21,ILSVRC2012_val_00032097.JPEG,0.25,0.12133675068616867,0.9745264053344727,0.002434792695567012,2.995732307434082,-0.01045304536819458,0.24056218564510345,0.5716391801834106,19.886999130249023
