source_model,target_model,sample_index,image_name,layer,condition,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase,one_step_target_prediction_changed
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,selected,True,0.0022153707686811686,0.0022517431061714888,0.5047898292541504,0.503720223903656,-0.13005352020263672,-0.008821144700050354,False
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,selected,True,0.0012763056438416243,0.0021455443929880857,0.4995349645614624,0.5001993179321289,0.02783203125,0.00814954936504364,False
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,opposite,True,0.0014707485679537058,0.001825049170292914,0.5019797086715698,0.5023384094238281,0.27948570251464844,0.037506625056266785,False
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,opposite,True,-0.006087811663746834,-0.005610623396933079,0.49527662992477417,0.4956154227256775,-0.029601097106933594,-0.0034175366163253784,False
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,deviation,True,0.008234555833041668,0.00903970655053854,0.5054076313972473,0.5056268572807312,0.1565103530883789,0.02105000615119934,False
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,deviation,True,-0.00018228852422907948,0.00033239892218261957,0.49805352091789246,0.498837411403656,0.019278526306152344,0.002692669630050659,False
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,random,True,0.009618299081921577,0.00995464064180851,0.5049558877944946,0.5040524005889893,0.12585830688476562,0.025954201817512512,False
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,random,True,-0.003587048966437578,-0.0028054348658770323,0.4994552433490753,0.5002591013908386,0.0735330581665039,0.01827317476272583,False
pit_b_224,vit_base_patch16_224,0,ILSVRC2012_val_00024479.JPEG,stage3_block2,no_drop,True,0.027269355952739716,0.02736692875623703,0.5028367042541504,0.502723753452301,0.20511531829833984,0.028117552399635315,False
pit_b_224,vit_base_patch16_224,1,ILSVRC2012_val_00024540.JPEG,stage3_block2,no_drop,True,0.006143879145383835,0.007350001018494368,0.5033615231513977,0.5038530826568604,0.15449237823486328,0.027695387601852417,False
pit_b_224,vit_base_patch16_224,2,ILSVRC2012_val_00024550.JPEG,stage3_block2,selected,True,0.00844279583543539,0.006567504722625017,0.5009632706642151,0.5006310939788818,0.20746231079101562,0.021888166666030884,False
pit_b_224,vit_base_patch16_224,3,ILSVRC2012_val_00024609.JPEG,stage3_block2,selected,True,0.021034512668848038,0.020815754309296608,0.5103236436843872,0.5121704936027527,0.1714925765991211,0.15379518270492554,False
pit_b_224,vit_base_patch16_224,2,ILSVRC2012_val_00024550.JPEG,stage3_block2,opposite,True,0.007553900592029095,0.006349433213472366,0.4996612071990967,0.5000996589660645,0.16455364227294922,0.01692313700914383,False
pit_b_224,vit_base_patch16_224,3,ILSVRC2012_val_00024609.JPEG,stage3_block2,opposite,True,0.02974872849881649,0.03058827668428421,0.5120110511779785,0.5137848258018494,0.2163105010986328,0.168956458568573,False
pit_b_224,vit_base_patch16_224,2,ILSVRC2012_val_00024550.JPEG,stage3_block2,deviation,True,0.0055779158137738705,0.0035802279599010944,0.4984653890132904,0.4966185688972473,0.2504558563232422,0.02469222992658615,False
pit_b_224,vit_base_patch16_224,3,ILSVRC2012_val_00024609.JPEG,stage3_block2,deviation,True,0.031178340315818787,0.03134283795952797,0.5119578838348389,0.5124760866165161,0.1617746353149414,0.14966005086898804,False
