source_model,sample_index,image_name,condition,selected_common_patches,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
pit_b_224,0,ILSVRC2012_val_00031361.JPEG,promotion,7,0.24006879329681396,0.5684351325035095,0.7146683931350708,6.23661994934082
pit_b_224,1,ILSVRC2012_val_00031410.JPEG,promotion,7,0.1122702807188034,0.5651030540466309,0.6777440309524536,6.622559070587158
pit_b_224,2,ILSVRC2012_val_00031472.JPEG,promotion,7,0.06073322892189026,0.5452949404716492,0.6717620491981506,7.700929641723633
pit_b_224,3,ILSVRC2012_val_00031495.JPEG,promotion,7,0.2983883023262024,0.5484610199928284,0.6597583293914795,7.780642032623291
pit_b_224,4,ILSVRC2012_val_00031548.JPEG,promotion,7,0.13889293372631073,0.5033659934997559,0.6746302843093872,8.651898384094238
pit_b_224,5,ILSVRC2012_val_00031586.JPEG,promotion,7,0.29456982016563416,0.4871080815792084,0.6762406229972839,11.875927925109863
pit_b_224,6,ILSVRC2012_val_00031588.JPEG,promotion,7,0.1746668815612793,0.5073826909065247,0.6869582533836365,9.336153984069824
pit_b_224,7,ILSVRC2012_val_00031593.JPEG,promotion,7,0.13144685328006744,0.45726504921913147,0.683965802192688,8.753674507141113
pit_b_224,8,ILSVRC2012_val_00031629.JPEG,promotion,7,0.2585813105106354,0.5177608132362366,0.6705932021141052,8.266748428344727
pit_b_224,9,ILSVRC2012_val_00031647.JPEG,promotion,7,0.10751890391111374,0.5288532376289368,0.6783312559127808,8.40727710723877
pit_b_224,10,ILSVRC2012_val_00031670.JPEG,promotion,7,0.34680408239364624,0.524203360080719,0.689181387424469,8.963228225708008
pit_b_224,11,ILSVRC2012_val_00031686.JPEG,promotion,7,0.21027927100658417,0.492206335067749,0.6974300742149353,10.307880401611328
pit_b_224,12,ILSVRC2012_val_00031762.JPEG,promotion,7,0.6302114129066467,0.6259352564811707,0.7123368978500366,5.441583156585693
pit_b_224,13,ILSVRC2012_val_00031783.JPEG,promotion,7,0.7481967210769653,0.6247257590293884,0.7055212259292603,4.503421783447266
pit_b_224,14,ILSVRC2012_val_00031785.JPEG,promotion,7,0.5008858442306519,0.5097784399986267,0.6895783543586731,9.633431434631348
pit_b_224,15,ILSVRC2012_val_00031789.JPEG,promotion,7,0.20376652479171753,0.46882182359695435,0.6812260746955872,11.312399864196777
pit_b_224,16,ILSVRC2012_val_00031922.JPEG,promotion,7,0.15993660688400269,0.5187228322029114,0.6820930242538452,7.560708999633789
pit_b_224,17,ILSVRC2012_val_00031927.JPEG,promotion,7,0.17544594407081604,0.5167420506477356,0.6806740164756775,10.057509422302246
pit_b_224,18,ILSVRC2012_val_00032032.JPEG,promotion,7,0.5196709036827087,0.614528477191925,0.7012223601341248,4.834488391876221
pit_b_224,19,ILSVRC2012_val_00032039.JPEG,promotion,7,0.4099047780036926,0.6195926070213318,0.6816887855529785,4.909581184387207
pit_b_224,20,ILSVRC2012_val_00032046.JPEG,promotion,7,0.5656799674034119,0.6192879676818848,0.7084927558898926,4.448996067047119
pit_b_224,21,ILSVRC2012_val_00032097.JPEG,promotion,7,0.09156888723373413,0.5138086676597595,0.6774178147315979,8.807762145996094
pit_b_224,22,ILSVRC2012_val_00032098.JPEG,promotion,7,0.05563092976808548,0.5527281165122986,0.6808394193649292,6.316121578216553
