source_model,sample_index,image_name,condition,selected_common_patches,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
visformer_small,0,ILSVRC2012_val_00031361.JPEG,promotion,7,0.679595947265625,0.6746929883956909,0.7291962504386902,5.4553351402282715
visformer_small,1,ILSVRC2012_val_00031410.JPEG,promotion,7,0.4477847218513489,0.5840157270431519,0.6871143579483032,7.3316121101379395
visformer_small,2,ILSVRC2012_val_00031472.JPEG,promotion,7,0.7880256772041321,0.6584574580192566,0.7176352739334106,4.491842746734619
visformer_small,3,ILSVRC2012_val_00031495.JPEG,promotion,7,0.22169673442840576,0.3862624764442444,0.669457197189331,16.671161651611328
visformer_small,4,ILSVRC2012_val_00031548.JPEG,promotion,7,0.4992332458496094,0.5318371653556824,0.6888372898101807,10.781328201293945
visformer_small,5,ILSVRC2012_val_00031586.JPEG,promotion,7,0.4000907242298126,0.4772203862667084,0.681813657283783,13.64459228515625
visformer_small,6,ILSVRC2012_val_00031588.JPEG,promotion,7,0.5718395709991455,0.482382595539093,0.6986759901046753,12.000035285949707
visformer_small,7,ILSVRC2012_val_00031593.JPEG,promotion,7,-0.011842777952551842,0.5332192182540894,0.7006723284721375,11.263914108276367
visformer_small,8,ILSVRC2012_val_00031629.JPEG,promotion,7,0.3365863859653473,0.49854546785354614,0.6905329823493958,10.600987434387207
visformer_small,9,ILSVRC2012_val_00031647.JPEG,promotion,7,0.599882960319519,0.5436549782752991,0.6952088475227356,10.941252708435059
visformer_small,10,ILSVRC2012_val_00031670.JPEG,promotion,7,0.6644341349601746,0.5705884099006653,0.7134865522384644,8.541050910949707
visformer_small,11,ILSVRC2012_val_00031686.JPEG,promotion,7,0.18389315903186798,0.5350421071052551,0.6966574192047119,11.544374465942383
visformer_small,12,ILSVRC2012_val_00031762.JPEG,promotion,7,0.6746651530265808,0.646427571773529,0.7185759544372559,6.778252601623535
visformer_small,13,ILSVRC2012_val_00031783.JPEG,promotion,7,0.6562598943710327,0.5996384620666504,0.7024324536323547,4.942678928375244
visformer_small,14,ILSVRC2012_val_00031785.JPEG,promotion,7,0.5718318223953247,0.6587537527084351,0.7184915542602539,5.601907253265381
visformer_small,15,ILSVRC2012_val_00031789.JPEG,promotion,7,0.45234715938568115,0.628720223903656,0.7108690738677979,6.3834123611450195
visformer_small,16,ILSVRC2012_val_00031922.JPEG,promotion,7,0.8235716819763184,0.6141128540039062,0.7034379243850708,5.914161205291748
visformer_small,17,ILSVRC2012_val_00031927.JPEG,promotion,7,0.4396853446960449,0.5288835763931274,0.6950215101242065,10.841629981994629
visformer_small,18,ILSVRC2012_val_00032032.JPEG,promotion,7,0.6832929849624634,0.6788942217826843,0.7133054733276367,6.5796732902526855
visformer_small,19,ILSVRC2012_val_00032039.JPEG,promotion,7,0.8007383346557617,0.6931137442588806,0.6899922490119934,4.810076713562012
visformer_small,20,ILSVRC2012_val_00032046.JPEG,promotion,7,0.7772098779678345,0.6012288331985474,0.7003321647644043,5.662521839141846
visformer_small,21,ILSVRC2012_val_00032097.JPEG,promotion,7,0.7597582340240479,0.6268314719200134,0.7041500806808472,6.743625640869141
visformer_small,22,ILSVRC2012_val_00032098.JPEG,promotion,7,0.6585693359375,0.5445099472999573,0.6961811184883118,7.331992149353027
visformer_small,23,ILSVRC2012_val_00032102.JPEG,promotion,7,0.7639380693435669,0.5907038450241089,0.7080994844436646,6.163571834564209
visformer_small,24,ILSVRC2012_val_00032120.JPEG,promotion,7,0.6453908681869507,0.5931190848350525,0.6935254335403442,8.157135963439941
visformer_small,25,ILSVRC2012_val_00032188.JPEG,promotion,7,0.7107549905776978,0.7107586860656738,0.7235521078109741,4.595654487609863
visformer_small,26,ILSVRC2012_val_00032370.JPEG,promotion,7,0.7398519515991211,0.6198782920837402,0.7146733403205872,7.621487140655518
visformer_small,27,ILSVRC2012_val_00032435.JPEG,promotion,7,0.6919979453086853,0.604097306728363,0.7021955847740173,8.26435375213623
visformer_small,28,ILSVRC2012_val_00032552.JPEG,promotion,7,0.6392403244972229,0.5893486142158508,0.7007855772972107,8.848030090332031
visformer_small,29,ILSVRC2012_val_00032623.JPEG,promotion,7,0.7933620810508728,0.7610145211219788,0.7360916137695312,4.376855850219727
visformer_small,30,ILSVRC2012_val_00032646.JPEG,promotion,7,0.6558984518051147,0.669660747051239,0.7252222299575806,6.357202053070068
visformer_small,31,ILSVRC2012_val_00032695.JPEG,promotion,7,0.5116038918495178,0.49441835284233093,0.6915477514266968,9.039260864257812
visformer_small,32,ILSVRC2012_val_00032723.JPEG,promotion,7,0.1920299232006073,0.5094867944717407,0.6820986866950989,11.952634811401367
visformer_small,33,ILSVRC2012_val_00032911.JPEG,promotion,7,0.5226949453353882,0.6017022728919983,0.6949604153633118,8.022645950317383
visformer_small,34,ILSVRC2012_val_00032926.JPEG,promotion,7,0.7534482479095459,0.6343860626220703,0.7043862342834473,5.690922737121582
visformer_small,35,ILSVRC2012_val_00032950.JPEG,promotion,7,0.7917458415031433,0.6007152795791626,0.7091385126113892,5.220296859741211
visformer_small,36,ILSVRC2012_val_00033014.JPEG,promotion,7,0.6294313669204712,0.6688987612724304,0.6981531381607056,6.899219512939453
visformer_small,37,ILSVRC2012_val_00033018.JPEG,promotion,7,0.6289559602737427,0.5730932354927063,0.7053133249282837,10.043635368347168
visformer_small,38,ILSVRC2012_val_00033076.JPEG,promotion,7,0.4511743187904358,0.5305899381637573,0.682013988494873,11.295938491821289
visformer_small,39,ILSVRC2012_val_00033149.JPEG,promotion,7,0.49056878685951233,0.6091793775558472,0.7007686495780945,7.766002655029297
