source_model,target_model,sample_index,image_name,condition,source_target_promotion_iou,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase,one_step_target_prediction_changed
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,promotion,0.07692307978868484,True,0.0036176422145217657,0.004151776898652315,0.5006310939788818,0.5022055506706238,0.1574110984802246,0.10284990072250366,False
visformer_small,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,promotion,0.0,True,0.006007176823914051,0.0061304750852286816,0.5043978691101074,0.5052282810211182,0.10683250427246094,0.015324883162975311,False
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,final_high,0.07692307978868484,True,0.011101573705673218,0.011487982235848904,0.503301739692688,0.5043115019798279,0.30902862548828125,0.1475021243095398,False
visformer_small,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,final_high,0.0,True,0.012209312990307808,0.01352531835436821,0.5072743892669678,0.5074072480201721,0.10253524780273438,0.013715565204620361,False
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,random,0.07692307978868484,True,-0.001890791580080986,-0.0005382999079301953,0.501368522644043,0.502325177192688,0.07920169830322266,0.05356496572494507,False
visformer_small,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,random,0.0,True,0.00894418265670538,0.008195988833904266,0.5049226880073547,0.5045174360275269,0.0015201568603515625,0.0038853511214256287,False
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,uniform,0.07692307978868484,True,0.0046094502322375774,0.004929105285555124,0.5028034448623657,0.5044975280761719,0.16176414489746094,0.08320611715316772,False
visformer_small,vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,uniform,0.0,True,0.005810064729303122,0.005709286313503981,0.5021922588348389,0.502909779548645,-0.09143543243408203,-0.0003508329391479492,False
visformer_small,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,promotion,0.27272728085517883,True,-0.0071715740486979485,-0.008581032045185566,0.5011957883834839,0.5009831786155701,0.06473064422607422,0.03307907283306122,False
visformer_small,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,promotion,0.0,True,-0.015212394297122955,-0.012446902692317963,0.5024580359458923,0.5021524429321289,0.1540241241455078,0.03151840716600418,False
visformer_small,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,final_high,0.27272728085517883,True,-0.01197928749024868,-0.01243092305958271,0.5000331997871399,0.5003255009651184,0.18093585968017578,0.04529684782028198,False
visformer_small,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,final_high,0.0,True,0.03318115323781967,0.0364842489361763,0.5060321092605591,0.5076597332954407,0.19463825225830078,0.0491216704249382,False
visformer_small,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,random,0.27272728085517883,True,-0.007752552628517151,-0.008477994240820408,0.4964657723903656,0.4964990019798279,0.05243968963623047,0.03330487012863159,False
visformer_small,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,random,0.0,True,-0.010497269220650196,-0.008211381733417511,0.5004517436027527,0.5004052519798279,0.17669677734375,0.04396853595972061,False
visformer_small,vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,uniform,0.27272728085517883,True,0.002663704100996256,0.0029741127509623766,0.5023118853569031,0.5020195841789246,0.03122234344482422,0.04096044600009918,False
visformer_small,vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,uniform,0.0,True,0.017670514062047005,0.02210111916065216,0.5024845600128174,0.5024646520614624,0.19067764282226562,0.045204706490039825,False
visformer_small,vit_base_patch16_224,4,ILSVRC2012_val_00031548.JPEG,promotion,0.1666666716337204,True,0.003205272601917386,0.003511750139296055,0.5086296200752258,0.5089485049247742,0.22428512573242188,0.07837265729904175,False
