condition,sample_index,source_alignment_to_opponent,semantic_final_global_cosine,semantic_early_global_cosine,semantic_final_gradient_alignment,semantic_early_gradient_alignment,semantic_layer_alignment_mean,consensus_max_weight,consensus_effective_layers,image_name
opponent_baseline,0,0.9999999403953552,0.9709147810935974,0.9971898198127747,0.10564013570547104,-0.011136860586702824,0.05516171455383301,0.3772602379322052,3.692267417907715,ILSVRC2012_val_00031361.JPEG
opponent_baseline,1,1.0000001192092896,0.9702380299568176,0.9979459047317505,0.07039150595664978,0.022612404078245163,0.021249892190098763,0.3727431297302246,3.702904462814331,ILSVRC2012_val_00031410.JPEG
semantic_only,0,0.10564015060663223,0.9709147810935974,0.9971898198127747,0.9999999403953552,-0.028907325118780136,0.40285032987594604,0.3772602379322052,3.692267417907715,ILSVRC2012_val_00031361.JPEG
semantic_only,1,0.07039150595664978,0.9702380299568176,0.9979459047317505,0.9999998807907104,0.033454254269599915,0.3981814980506897,0.3727431297302246,3.702904462814331,ILSVRC2012_val_00031410.JPEG
shuffled_semantic,0,0.9701425433158875,0.9709147810935974,0.9971898198127747,0.10155724734067917,-0.008394538424909115,0.05362345278263092,0.3772602379322052,3.692267417907715,ILSVRC2012_val_00031361.JPEG
shuffled_semantic,1,0.9701424837112427,0.9702380299568176,0.9979459047317505,0.07304653525352478,0.02098913863301277,0.02275468036532402,0.3727431297302246,3.702904462814331,ILSVRC2012_val_00031410.JPEG
final_semantic_residual,0,0.9701424837112427,0.9709147810935974,0.9971898198127747,0.3436644971370697,-0.01756790280342102,0.15034881234169006,0.3772602379322052,3.692267417907715,ILSVRC2012_val_00031361.JPEG
final_semantic_residual,1,0.9701424837112427,0.9702380299568176,0.9979459047317505,0.3102237284183502,0.029684266075491905,0.11706507205963135,0.3727431297302246,3.702904462814331,ILSVRC2012_val_00031410.JPEG
early_semantic_residual,0,0.9701425433158875,0.9709147810935974,0.9971898198127747,0.09575986862182617,0.23171627521514893,0.12044958770275116,0.3772602379322052,3.692267417907715,ILSVRC2012_val_00031361.JPEG
early_semantic_residual,1,0.9701425433158875,0.9702380299568176,0.9979459047317505,0.07601956278085709,0.2644108533859253,0.0804719403386116,0.3727431297302246,3.702904462814331,ILSVRC2012_val_00031410.JPEG
