model,sample_index,image_name,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,global_feature_shift,kept_local_feature_shift,kept_score_abs_change,gradient_cosine,gradient_norm_ratio
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,0,True,0.2477273941040039,0.030467577278614044,False,0.005605161190032959,0.07096203416585922,0.11145847290754318,-0.013616830110549927,0.734965980052948
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,0,True,0.2688608169555664,0.03286905586719513,False,0.012323498725891113,0.1204671636223793,0.11639469861984253,0.09653008729219437,0.9284260272979736
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,0,True,0.4578571319580078,0.05683840066194534,False,0.009270191192626953,0.0695987120270729,0.07140464335680008,0.09937233477830887,2.197751998901367
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,0,True,0.19658946990966797,0.016200728714466095,False,0.006696641445159912,0.05533747375011444,0.025805458426475525,0.31384557485580444,0.9529941082000732
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,0,True,0.3202018737792969,0.054568350315093994,False,0.017702162265777588,0.05812431871891022,0.058267951011657715,0.02648381143808365,2.554525136947632
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,0,True,0.07307052612304688,0.009542450308799744,False,0.003760099411010742,0.040306657552719116,0.03135945275425911,0.050396762788295746,1.8221819400787354
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,0,True,0.03481769561767578,0.003414355218410492,False,0.0028595924377441406,0.03039625845849514,0.0347052626311779,0.013108424842357635,1.4861093759536743
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,0,True,0.09317779541015625,0.010490059852600098,False,0.007711529731750488,0.09410107880830765,0.0570068359375,0.08521456271409988,0.8834738731384277
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,1,True,0.2477273941040039,0.030467577278614044,False,0.005605161190032959,0.07096203416585922,0.11145847290754318,-0.013616829179227352,0.734965980052948
pit_b_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,1,True,0.2688608169555664,0.03286905586719513,False,0.012323498725891113,0.1204671636223793,0.11639469861984253,0.09653008729219437,0.9284260272979736
pit_b_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,1,True,0.4578571319580078,0.05683840066194534,False,0.009270191192626953,0.0695987120270729,0.07140464335680008,0.09937233477830887,2.197751998901367
pit_b_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,1,True,0.19658946990966797,0.016200728714466095,False,0.006696641445159912,0.05533747375011444,0.025805458426475525,0.31384557485580444,0.9529941082000732
pit_b_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,1,True,0.3202018737792969,0.054568350315093994,False,0.017702162265777588,0.05812431871891022,0.058267951011657715,0.02648381143808365,2.554525136947632
pit_b_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,1,True,0.07307052612304688,0.009542450308799744,False,0.003760099411010742,0.040306657552719116,0.03135945275425911,0.050396762788295746,1.8221819400787354
pit_b_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,1,True,0.03481769561767578,0.003414355218410492,False,0.0028595924377441406,0.03039625845849514,0.0347052626311779,0.013108417391777039,1.4861096143722534
pit_b_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,1,True,0.09317779541015625,0.010490059852600098,False,0.007711529731750488,0.09410107880830765,0.0570068359375,0.08521455526351929,0.8834738731384277
pit_b_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,2,True,0.2477273941040039,0.030467577278614044,False,0.005605161190032959,0.07096203416585922,0.11145847290754318,-0.013616829179227352,0.734965980052948
