condition,sample_index,source_alignment_to_opponent,semantic_final_global_cosine,semantic_early_global_cosine,semantic_final_gradient_alignment,semantic_early_gradient_alignment,semantic_layer_alignment_mean,consensus_max_weight,consensus_effective_layers,image_name
opponent_baseline,0,1.0,0.9621764421463013,0.9986379742622375,-0.02171269617974758,0.011847426183521748,0.006262838374823332,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
opponent_baseline,1,1.0,0.9825251698493958,0.9989239573478699,0.0030534935649484396,0.011908302083611488,0.008583840914070606,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
semantic_only,0,-0.021712694317102432,0.9621764421463013,0.9986379742622375,1.0,0.0135209234431386,0.47641512751579285,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
semantic_only,1,0.003053493332117796,0.9825251698493958,0.9989239573478699,0.9999999403953552,0.04827031493186951,0.40482914447784424,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
shuffled_semantic,0,0.9701424837112427,0.9621764421463013,0.9986379742622375,-0.012375138700008392,0.010958759114146233,0.011687975376844406,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
shuffled_semantic,1,0.9701426029205322,0.9825251698493958,0.9989239573478699,0.010738683864474297,0.009293349459767342,0.011520249769091606,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
final_semantic_residual,0,0.9701426029205322,0.9621764421463013,0.9986379742622375,0.22141402959823608,0.014836176298558712,0.12168373167514801,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
final_semantic_residual,1,0.9701426029205322,0.9825251698493958,0.9989239573478699,0.24549680948257446,0.023251254111528397,0.10650713741779327,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
early_semantic_residual,0,0.9701425433158875,0.9621764421463013,0.9986379742622375,-0.01772247813642025,0.2540122866630554,0.07469719648361206,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
early_semantic_residual,1,0.9701426029205322,0.9825251698493958,0.9989239573478699,0.014661602675914764,0.2540712058544159,0.0720810666680336,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
uniform_multilayer_residual,0,0.9701425433158875,0.9621764421463013,0.9986379742622375,0.15992262959480286,0.12503734230995178,0.16077613830566406,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
uniform_multilayer_residual,1,0.9701426029205322,0.9825251698493958,0.9989239573478699,0.16632699966430664,0.14428329467773438,0.1493230164051056,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
consensus_multilayer_residual,0,0.9701425433158875,0.9621764421463013,0.9986379742622375,0.1848287582397461,0.06829042732715607,0.1563224494457245,0.3365096151828766,3.762058734893799,ILSVRC2012_val_00031361.JPEG
consensus_multilayer_residual,1,0.9701426029205322,0.9825251698493958,0.9989239573478699,0.1970641314983368,0.09417872130870819,0.1470629721879959,0.33080193400382996,3.810393810272217,ILSVRC2012_val_00031410.JPEG
opponent_baseline,2,1.0000001192092896,0.9930528402328491,0.998935878276825,0.015020428225398064,-0.009190181270241737,0.010130470618605614,0.34232252836227417,3.760530471801758,ILSVRC2012_val_00031472.JPEG
