source_model,target_model,condition,sample_index,image_name,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase
vit_base_patch16_224,cait_s24_224,uniform_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.0073409960605204105,0.009694555774331093,0.5101708769798279,0.5116722583770752,0.16226959228515625,0.027168184518814087
vit_base_patch16_224,cait_s24_224,uniform_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.009593846276402473,0.01093359850347042,0.5067362785339355,0.5085233449935913,-0.03599357604980469,-0.001191943883895874
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.0008647274225950241,0.0016507180407643318,0.5088887214660645,0.5108750462532043,0.19529342651367188,0.02594693750143051
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.014175104908645153,0.015307921916246414,0.5077660083770752,0.5091478228569031,-0.043590545654296875,-0.00417618453502655
vit_base_patch16_224,cait_s24_224,route_balance_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.007202839013189077,0.00963528361171484,0.5099782347679138,0.511306881904602,0.16588497161865234,0.027469784021377563
vit_base_patch16_224,cait_s24_224,route_balance_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.009274473413825035,0.010655914433300495,0.5063974857330322,0.5077726244926453,-0.024156570434570312,6.671249866485596e-05
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.0007808906957507133,0.0016090162098407745,0.5088621377944946,0.5109747052192688,0.18946361541748047,0.024669647216796875
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.01399078220129013,0.015159539878368378,0.5071216225624084,0.509200930595398,-0.058307647705078125,-0.00568312406539917
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,0,ILSVRC2012_val_00031361.JPEG,True,0.0006785765290260315,0.0014746962115168571,0.5088156461715698,0.5106359124183655,0.18252182006835938,0.024087518453598022
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,1,ILSVRC2012_val_00031410.JPEG,True,0.013704371638596058,0.014837251044809818,0.5072212219238281,0.5085565447807312,-0.08124351501464844,-0.00889827311038971
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,0,ILSVRC2012_val_00031361.JPEG,True,0.008663837797939777,0.009388532489538193,0.5164487957954407,0.5174917578697205,0.36472606658935547,0.04124842584133148
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,1,ILSVRC2012_val_00031410.JPEG,True,0.01053424458950758,0.01199452392756939,0.5172592401504517,0.5200892686843872,0.32715606689453125,0.05637393891811371
vit_base_patch16_224,cait_s24_224,uniform_opponent,2,ILSVRC2012_val_00031472.JPEG,True,0.013846281915903091,0.01397558581084013,0.5075201988220215,0.5074471235275269,0.18857383728027344,0.011345826089382172
vit_base_patch16_224,cait_s24_224,uniform_opponent,3,ILSVRC2012_val_00031495.JPEG,True,0.004800052847713232,0.0065437015146017075,0.5066632032394409,0.5082376599311829,0.25186920166015625,0.048895880579948425
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,2,ILSVRC2012_val_00031472.JPEG,True,0.015064619481563568,0.015167446807026863,0.5075998902320862,0.5077660083770752,0.14326000213623047,0.007255218923091888
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,3,ILSVRC2012_val_00031495.JPEG,True,0.02875084988772869,0.03002842329442501,0.5073075890541077,0.5082775354385376,0.19505882263183594,0.031059563159942627
vit_base_patch16_224,cait_s24_224,route_balance_opponent,2,ILSVRC2012_val_00031472.JPEG,True,0.013411780819296837,0.013491679914295673,0.5073208808898926,0.5076131820678711,0.20395469665527344,0.012501291930675507
vit_base_patch16_224,cait_s24_224,route_balance_opponent,3,ILSVRC2012_val_00031495.JPEG,True,0.006771574262529612,0.008517419919371605,0.5071016550064087,0.5085698366165161,0.25368404388427734,0.05005994439125061
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,2,ILSVRC2012_val_00031472.JPEG,True,0.014709582552313805,0.014749858528375626,0.5076663494110107,0.5081048011779785,0.17017269134521484,0.009602777659893036
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,3,ILSVRC2012_val_00031495.JPEG,True,0.027634765952825546,0.029018638655543327,0.5075600743293762,0.5086894035339355,0.20614910125732422,0.032084569334983826
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,2,ILSVRC2012_val_00031472.JPEG,True,0.015101892873644829,0.015220094472169876,0.5075268149375916,0.5077992081642151,0.143218994140625,0.007367663085460663
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,3,ILSVRC2012_val_00031495.JPEG,True,0.0294185783714056,0.030622679740190506,0.5069156289100647,0.5082908272743225,0.19611072540283203,0.03112933039665222
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,2,ILSVRC2012_val_00031472.JPEG,True,-0.007361555006355047,-0.006955879740417004,0.5104897618293762,0.5110676884651184,0.31288909912109375,0.05429639667272568
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,3,ILSVRC2012_val_00031495.JPEG,True,0.015039895661175251,0.01463661901652813,0.5161166191101074,0.5183886289596558,0.44026660919189453,0.07546484470367432
vit_base_patch16_224,cait_s24_224,uniform_opponent,4,ILSVRC2012_val_00031548.JPEG,True,0.0015507139032706618,0.002086648717522621,0.5102705359458923,0.5105761289596558,0.10682868957519531,0.0599125474691391
vit_base_patch16_224,cait_s24_224,uniform_opponent,5,ILSVRC2012_val_00031586.JPEG,True,0.04455993324518204,0.05065174400806427,0.5162893533706665,0.5165749788284302,0.09437179565429688,0.016865313053131104
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,4,ILSVRC2012_val_00031548.JPEG,True,-0.005675284657627344,-0.004684561863541603,0.5181361436843872,0.5171329975128174,0.2731456756591797,0.15245719254016876
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,5,ILSVRC2012_val_00031586.JPEG,True,0.047057874500751495,0.05317888781428337,0.5167477130889893,0.5169603228569031,0.09478187561035156,0.017347216606140137
vit_base_patch16_224,cait_s24_224,route_balance_opponent,4,ILSVRC2012_val_00031548.JPEG,True,0.0017421420197933912,0.0022248937748372555,0.5094534158706665,0.5093869566917419,0.1284475326538086,0.05658215284347534
vit_base_patch16_224,cait_s24_224,route_balance_opponent,5,ILSVRC2012_val_00031586.JPEG,True,0.04337562620639801,0.04934046044945717,0.5162428021430969,0.5162959694862366,0.09873008728027344,0.017082415521144867
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,4,ILSVRC2012_val_00031548.JPEG,True,-0.005621860735118389,-0.004652273841202259,0.5174120664596558,0.5171396732330322,0.2709932327270508,0.15613152086734772
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,5,ILSVRC2012_val_00031586.JPEG,True,0.045681893825531006,0.051699042320251465,0.5164355039596558,0.5168872475624084,0.07779598236083984,0.016273632645606995
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,4,ILSVRC2012_val_00031548.JPEG,True,-0.005947161465883255,-0.004956862423568964,0.5181029438972473,0.5174120664596558,0.28429508209228516,0.15915916860103607
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,5,ILSVRC2012_val_00031586.JPEG,True,0.04716067016124725,0.053270965814590454,0.5169005393981934,0.5168473720550537,0.09300708770751953,0.016961492598056793
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,4,ILSVRC2012_val_00031548.JPEG,True,0.005037324037402868,0.00498836487531662,0.5285594463348389,0.5291042327880859,0.32430458068847656,0.18658386170864105
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,5,ILSVRC2012_val_00031586.JPEG,True,0.04494425654411316,0.050428420305252075,0.5111009478569031,0.5117785334587097,0.21385860443115234,0.03886847198009491
vit_base_patch16_224,cait_s24_224,uniform_opponent,6,ILSVRC2012_val_00031588.JPEG,True,-0.006902294233441353,-0.006912942975759506,0.5020660758018494,0.501747190952301,-0.036217689514160156,0.00043318793177604675
vit_base_patch16_224,cait_s24_224,uniform_opponent,7,ILSVRC2012_val_00031593.JPEG,True,0.013498449698090553,0.018499746918678284,0.49760177731513977,0.4975021183490753,0.07415771484375,0.004570025950670242
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,6,ILSVRC2012_val_00031588.JPEG,True,-0.0072236680425703526,-0.007229331880807877,0.5010363459587097,0.500996470451355,-0.03367805480957031,0.000230398029088974
vit_base_patch16_224,cait_s24_224,global_preserve_opponent,7,ILSVRC2012_val_00031593.JPEG,True,0.013916777446866035,0.019211964681744576,0.4972696006298065,0.4973825514316559,0.04666900634765625,0.0028876475989818573
vit_base_patch16_224,cait_s24_224,route_balance_opponent,6,ILSVRC2012_val_00031588.JPEG,True,-0.006783934310078621,-0.00684240972623229,0.5018268823623657,0.5018069744110107,-0.04811382293701172,-0.0006264597177505493
vit_base_patch16_224,cait_s24_224,route_balance_opponent,7,ILSVRC2012_val_00031593.JPEG,True,0.01494559831917286,0.021081792190670967,0.49720317125320435,0.49774792790412903,0.03256034851074219,0.0020192451775074005
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,6,ILSVRC2012_val_00031588.JPEG,True,-0.006994821596890688,-0.007042590528726578,0.5012090802192688,0.5007108449935913,-0.04467201232910156,-0.00042962655425071716
vit_base_patch16_224,cait_s24_224,semantic_equivalent_opponent,7,ILSVRC2012_val_00031593.JPEG,True,0.015359407290816307,0.021814223378896713,0.4969640076160431,0.49743568897247314,0.0041370391845703125,0.00041798874735832214
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,6,ILSVRC2012_val_00031588.JPEG,True,-0.0072243125177919865,-0.0072295181453228,0.5011492967605591,0.5008105039596558,-0.046982765197753906,-0.0003089793026447296
vit_base_patch16_224,cait_s24_224,shuffled_semantic_opponent,7,ILSVRC2012_val_00031593.JPEG,True,0.014169215224683285,0.01954537257552147,0.4971500337123871,0.49729618430137634,0.04239463806152344,0.0026030652225017548
vit_base_patch16_224,cait_s24_224,semantic_equivalent_feature_gaussian,6,ILSVRC2012_val_00031588.JPEG,True,-0.0018844236619770527,-0.002016012091189623,0.5010363459587097,0.5031622052192688,0.020349502563476562,0.004805110394954681
