source_model,target_model,sample_index,image_name,view_index,semantic_score,raw_target_removal_delta,processed_target_removal_delta,raw_source_removal_delta,processed_source_removal_delta,raw_transfer_selective_benefit,processed_transfer_selective_benefit,view_to_uniform_cosine
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,0,-0.01156121026724577,-0.0005471352487802505,-0.0005452726036310196,-0.0261383056640625,-0.02593994140625,-0.02559117041528225,-0.02539466880261898,0.2958984375
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,1,0.032526254653930664,0.001551952213048935,0.0015353523194789886,0.008392333984375,0.008270263671875,0.006840381771326065,0.006734911352396011,0.386962890625
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,2,0.015385006554424763,-0.0011582057923078537,-0.0011953376233577728,0.0036678314208984375,0.0037784576416015625,0.004826037213206291,0.004973795264959335,0.485595703125
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,3,-0.03237266093492508,-0.00015115365386009216,-0.00017479434609413147,0.0037136077880859375,0.003635406494140625,0.0038647614419460297,0.0038102008402347565,0.419921875
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,4,0.10824963450431824,0.0011454448103904724,0.0012745782732963562,-0.0124359130859375,-0.0122222900390625,-0.013581357896327972,-0.013496868312358856,0.442626953125
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,5,-0.02910630777478218,-0.0018427856266498566,-0.001803940162062645,0.005283355712890625,0.005321502685546875,0.007126141339540482,0.00712544284760952,0.294189453125
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,6,0.07383289188146591,0.0010189004242420197,0.0009706933051347733,-0.004848480224609375,-0.00463104248046875,-0.005867380648851395,-0.005601735785603523,0.5068359375
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,7,0.008653020486235619,0.0017283149063587189,0.0017040576785802841,-0.0009126663208007812,-0.0009016990661621094,-0.0026409812271595,-0.0026057567447423935,0.355224609375
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,8,0.08911442011594772,1.771189272403717e-05,-1.2788921594619751e-05,-0.0085906982421875,-0.00872802734375,-0.008608410134911537,-0.00871523842215538,0.462158203125
visformer_small,vit_base_patch16_224,0,ILSVRC2012_val_00037758.JPEG,9,-0.011856742203235626,0.0012622866779565811,0.0013696439564228058,0.002986907958984375,0.003204345703125,0.0017246212810277939,0.0018347017467021942,0.42529296875
