condition,sample_index,source_alignment_to_opponent,semantic_final_global_cosine,semantic_early_global_cosine,semantic_final_gradient_alignment,semantic_early_gradient_alignment,semantic_layer_alignment_mean,consensus_max_weight,consensus_effective_layers,image_name
opponent_baseline,0,1.0,0.9187750220298767,0.9937657713890076,0.03714381530880928,0.004726920742541552,0.009137404151260853,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
opponent_baseline,1,1.0,0.9711825251579285,0.9944674968719482,0.0214626993983984,-0.009831090457737446,0.003861486678943038,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
semantic_only,0,0.03714381158351898,0.9187750220298767,0.9937657713890076,1.0,0.0032450887374579906,0.27243760228157043,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
semantic_only,1,0.02146270126104355,0.9711825251579285,0.9944674968719482,1.0000001192092896,0.00166967767290771,0.23185420036315918,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
shuffled_semantic,0,0.9701424241065979,0.9187750220298767,0.9937657713890076,0.035847995430231094,0.004250571131706238,0.009289695881307125,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
shuffled_semantic,1,0.9701424837112427,0.9711825251579285,0.9944674968719482,0.03714115172624588,-0.009242438711225986,0.007257877383381128,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
final_semantic_residual,0,0.9701424837112427,0.9187750220298767,0.9937657713890076,0.27840304374694824,0.0053307670168578625,0.07490365952253342,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
final_semantic_residual,1,0.9701424837112427,0.9711825251579285,0.9944674968719482,0.26330164074897766,-0.009081320837140083,0.05997193977236748,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
early_semantic_residual,0,0.9701424837112427,0.9187750220298767,0.9937657713890076,0.03677926957607269,0.24711869657039642,0.07368507236242294,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
early_semantic_residual,1,0.9701424837112427,0.9711825251579285,0.9944674968719482,0.021278031170368195,0.23298636078834534,0.0650876834988594,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
uniform_multilayer_residual,0,0.9701423645019531,0.9187750220298767,0.9937657713890076,0.18411004543304443,0.09497104585170746,0.13836060464382172,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
uniform_multilayer_residual,1,0.9701424837112427,0.9711825251579285,0.9944674968719482,0.1554010510444641,0.08973939716815948,0.12184879183769226,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
consensus_multilayer_residual,0,0.9701425433158875,0.9187750220298767,0.9937657713890076,0.16812850534915924,0.08384424448013306,0.13821035623550415,0.3085145354270935,3.9561450481414795,ILSVRC2012_val_00031361.JPEG
consensus_multilayer_residual,1,0.9701424837112427,0.9711825251579285,0.9944674968719482,0.14946168661117554,0.09659059345722198,0.12236287444829941,0.2650943994522095,3.99385929107666,ILSVRC2012_val_00031410.JPEG
opponent_baseline,2,1.0,0.9444111585617065,0.9875106811523438,0.011551037430763245,0.007683822885155678,0.005066275596618652,0.28189975023269653,3.9767892360687256,ILSVRC2012_val_00031472.JPEG
opponent_baseline,3,1.0,0.953554630279541,0.9827208518981934,0.0003989820834249258,0.007414832711219788,0.004607861861586571,0.2679826319217682,3.9915058612823486,ILSVRC2012_val_00031495.JPEG
semantic_only,2,0.01155103649944067,0.9444111585617065,0.9875106811523438,1.0,-0.00015214784070849419,0.2974317669868469,0.28189975023269653,3.9767892360687256,ILSVRC2012_val_00031472.JPEG
semantic_only,3,0.0003989804536104202,0.953554630279541,0.9827208518981934,1.0,0.016695398837327957,0.26393193006515503,0.2679826319217682,3.9915058612823486,ILSVRC2012_val_00031495.JPEG
shuffled_semantic,2,0.9701424837112427,0.9444111585617065,0.9875106811523438,0.009130457416176796,0.006554112304002047,0.004868647083640099,0.28189975023269653,3.9767892360687256,ILSVRC2012_val_00031472.JPEG
shuffled_semantic,3,0.9701426029205322,0.953554630279541,0.9827208518981934,0.000736011192202568,0.007914833724498749,0.003978571854531765,0.2679826319217682,3.9915058612823486,ILSVRC2012_val_00031495.JPEG
final_semantic_residual,2,0.9701424837112427,0.9444111585617065,0.9875106811523438,0.2537256181240082,0.0073959724977612495,0.07704343646764755,0.28189975023269653,3.9767892360687256,ILSVRC2012_val_00031472.JPEG
final_semantic_residual,3,0.9701424837112427,0.953554630279541,0.9827208518981934,0.24292266368865967,0.011241953819990158,0.06848274171352386,0.2679826319217682,3.9915058612823486,ILSVRC2012_val_00031495.JPEG
early_semantic_residual,2,0.9701424837112427,0.9444111585617065,0.9875106811523438,0.011147723533213139,0.24998286366462708,0.070084348320961,0.28189975023269653,3.9767892360687256,ILSVRC2012_val_00031472.JPEG
