source_model,target_model,sample_index,image_name,view_index,semantic_score,raw_target_removal_delta,processed_target_removal_delta,raw_source_removal_delta,processed_source_removal_delta,raw_transfer_selective_benefit,processed_transfer_selective_benefit,view_to_uniform_cosine
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,0,0.002733278088271618,-0.00040329620242118835,-0.0003879731521010399,-0.0010995864868164062,-0.0011272430419921875,-0.0006962902843952179,-0.0007392698898911476,0.10614013671875
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,1,0.0024118032306432724,5.1670707762241364e-05,-4.179496318101883e-05,0.0009832382202148438,0.0010175704956054688,0.0009315675124526024,0.0010593654587864876,0.1279296875
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,2,0.00988390576094389,-0.00024098344147205353,-0.0001837378367781639,0.0031795501708984375,0.003238677978515625,0.003420533612370491,0.003422415815293789,0.149658203125
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,3,0.0008914698264561594,0.00021455809473991394,0.00020716525614261627,0.0002484321594238281,0.00019669532775878906,3.3874064683914185e-05,-1.046992838382721e-05,0.139404296875
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,4,-0.018402062356472015,-0.0012963181361556053,-0.0013936301693320274,-0.0027561187744140625,-0.0027027130126953125,-0.0014598006382584572,-0.001309082843363285,0.10198974609375
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,5,0.001489781541749835,-0.0015753833577036858,-0.0015380596742033958,0.0009899139404296875,0.0010395050048828125,0.0025652972981333733,0.0025775646790862083,0.2491455078125
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,6,0.0009361996781080961,0.0010038018226623535,0.0009633386507630348,0.001705169677734375,0.0016345977783203125,0.0007013678550720215,0.0006712591275572777,0.331787109375
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,7,0.004830857273191214,0.00029173772782087326,0.0001919558271765709,-0.0011816024780273438,-0.0009636878967285156,-0.001473340205848217,-0.0011556437239050865,0.2421875
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,8,0.04083247110247612,-0.0021612942218780518,-0.0021782107651233673,-0.01262664794921875,-0.01230621337890625,-0.010465353727340698,-0.010128002613782883,0.14794921875
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,9,0.0029457637574523687,-0.00034302007406949997,-0.00035055261105298996,-8.791685104370117e-05,-0.00012552738189697266,0.0002551032230257988,0.0002250252291560173,0.1275634765625
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,10,-0.024163570255041122,0.003538459073752165,0.003907870035618544,0.0098876953125,0.00974273681640625,0.006349236238747835,0.005834866780787706,0.25439453125
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,11,-0.005218589678406715,0.0006870431825518608,0.0007561342790722847,0.00030350685119628906,0.00033473968505859375,-0.00038353633135557175,-0.00042139459401369095,0.10906982421875
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,12,-0.01288626343011856,0.0003901887685060501,0.0005864733830094337,0.0022640228271484375,0.002166748046875,0.0018738340586423874,0.0015802746638655663,0.1285400390625
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00037758.JPEG,13,-0.011759286746382713,0.0012605451047420502,0.0012143459171056747,-0.0003833770751953125,-0.0003871917724609375,-0.0016439221799373627,-0.0016015376895666122,0.1668701171875
