model,condition,sample_index,image_name,preserved_view_fraction,preserved_route_distance,preserved_pair_distance,top_preserved_global_cosine,top_preserved_js,top_route_distance,top_pair_distance,all_view_global_cosine,all_view_js,all_view_route_distance,route_view_count
vit_base_patch16_224,opponent,0,ILSVRC2012_val_00031361.JPEG,0.0,0.0,0.059828560799360275,0.9615632891654968,0.0224729236215353,0.11938776075839996,0.059828560799360275,0.9529445767402649,0.030132699757814407,0.1208469420671463,0
vit_base_patch16_224,opponent,1,ILSVRC2012_val_00031410.JPEG,0.0,0.0,0.06848978996276855,0.9764614105224609,0.0023017895873636007,0.13585712015628815,0.06848978996276855,0.970341145992279,0.004053689073771238,0.13038264214992523,0
vit_base_patch16_224,rgb_gaussian,0,ILSVRC2012_val_00031361.JPEG,0.0,0.0,0.04779591038823128,0.9575743079185486,0.02631622552871704,0.1197551041841507,0.04779591038823128,0.9489542245864868,0.039162781089544296,0.13013775646686554,0
vit_base_patch16_224,rgb_gaussian,1,ILSVRC2012_val_00031410.JPEG,0.0,0.0,0.07640815526247025,0.9727662205696106,0.0026015383191406727,0.11357138305902481,0.07640815526247025,0.967729389667511,0.004134994000196457,0.1323009878396988,0
vit_base_patch16_224,feature_gaussian,0,ILSVRC2012_val_00031361.JPEG,0.0,0.0,0.06885713338851929,0.9585035443305969,0.023181946948170662,0.1195102110505104,0.06885713338851929,0.9509167671203613,0.04443417862057686,0.11137242615222931,0
vit_base_patch16_224,feature_gaussian,1,ILSVRC2012_val_00031410.JPEG,0.20000000298023224,0.10586734116077423,0.07301222532987595,0.9809444546699524,0.0016643278067931533,0.10320409387350082,0.07301222532987595,0.9743679165840149,0.004012861289083958,0.13264796137809753,4
vit_base_patch16_224,phase_only,0,ILSVRC2012_val_00031361.JPEG,0.699999988079071,0.04361514002084732,0.0,1.0,2.9802322387695312e-08,0.009183645248413086,0.0,0.9861461520195007,0.009378698654472828,0.05803569778800011,14
vit_base_patch16_224,phase_only,1,ILSVRC2012_val_00031410.JPEG,0.699999988079071,0.04192415624856949,0.0,1.000000238418579,7.450580596923828e-09,0.013265252113342285,0.0,0.9906512498855591,0.0022804795298725367,0.06654077768325806,14
vit_base_patch16_224,opponent,2,ILSVRC2012_val_00031472.JPEG,1.0,0.2296224683523178,0.10351018607616425,0.9966964721679688,0.00042173522524535656,0.19944898784160614,0.10351018607616425,0.9959823489189148,0.0008951887721195817,0.2296224683523178,20
vit_base_patch16_224,opponent,3,ILSVRC2012_val_00031495.JPEG,0.0,0.0,0.3885958790779114,0.9715580940246582,0.025444163009524345,0.6662040948867798,0.3885958790779114,0.9630953669548035,0.05940064415335655,0.8035816550254822,0
