source_model,sample_index,image_name,phase_global_cosine,flip_global_cosine,phase_flip_gradient_cosine
pit_b_224,0,ILSVRC2012_val_00037758.JPEG,0.9973535537719727,0.9988335967063904,0.16269232332706451
pit_b_224,1,ILSVRC2012_val_00037916.JPEG,0.9875827431678772,0.9977233409881592,0.09569016844034195
pit_b_224,2,ILSVRC2012_val_00037926.JPEG,0.9903008937835693,0.9987771511077881,0.10214195400476456
pit_b_224,3,ILSVRC2012_val_00037929.JPEG,0.9918279051780701,0.9984528422355652,0.20401036739349365
pit_b_224,4,ILSVRC2012_val_00038033.JPEG,0.9922823905944824,0.9974322319030762,0.4315508008003235
pit_b_224,5,ILSVRC2012_val_00038096.JPEG,0.981249213218689,0.994641900062561,0.1178090050816536
pit_b_224,6,ILSVRC2012_val_00038110.JPEG,0.9985165596008301,0.9992652535438538,0.02607898972928524
pit_b_224,7,ILSVRC2012_val_00038142.JPEG,0.9883673191070557,0.9983047246932983,-0.008958062157034874
pit_b_224,8,ILSVRC2012_val_00038157.JPEG,0.9852591753005981,0.9960521459579468,0.17717978358268738
pit_b_224,9,ILSVRC2012_val_00038221.JPEG,0.9756031036376953,0.9967254400253296,-0.11063674092292786
pit_b_224,10,ILSVRC2012_val_00038236.JPEG,0.9957209825515747,0.998874306678772,-0.04217085987329483
pit_b_224,11,ILSVRC2012_val_00038251.JPEG,0.9906418323516846,0.9978454113006592,-0.1376861035823822
pit_b_224,12,ILSVRC2012_val_00038413.JPEG,0.9938012957572937,0.9983373284339905,0.06587086617946625
pit_b_224,13,ILSVRC2012_val_00038427.JPEG,0.9781291484832764,0.99399334192276,-0.11454695463180542
pit_b_224,14,ILSVRC2012_val_00038546.JPEG,0.9371240139007568,0.9786038994789124,0.3756427764892578
pit_b_224,15,ILSVRC2012_val_00038597.JPEG,0.9884195327758789,0.9980350732803345,0.09349950402975082
pit_b_224,16,ILSVRC2012_val_00038607.JPEG,0.9908847808837891,0.9964203834533691,0.750143826007843
pit_b_224,17,ILSVRC2012_val_00038678.JPEG,0.9902293682098389,0.993915319442749,0.9411822557449341
pit_b_224,18,ILSVRC2012_val_00038705.JPEG,0.9853384494781494,0.9948624968528748,0.012218870222568512
pit_b_224,19,ILSVRC2012_val_00038708.JPEG,0.9965906739234924,0.9986804723739624,0.24962118268013
pit_b_224,20,ILSVRC2012_val_00038743.JPEG,0.9802261590957642,0.9982023239135742,0.3777959942817688
pit_b_224,21,ILSVRC2012_val_00038986.JPEG,0.9860541820526123,0.9944124817848206,0.12351801246404648
pit_b_224,22,ILSVRC2012_val_00039085.JPEG,0.9723893404006958,0.9915284514427185,-0.21241667866706848
pit_b_224,23,ILSVRC2012_val_00039106.JPEG,0.9946202635765076,0.9978318214416504,0.8595058917999268
pit_b_224,24,ILSVRC2012_val_00039130.JPEG,0.9760501980781555,0.9956371784210205,0.036572039127349854
pit_b_224,25,ILSVRC2012_val_00039253.JPEG,0.9944154024124146,0.9978612065315247,0.0744922012090683
