source_model,target_model,condition,sample_index,image_name,target_clean_correct,weight_entropy,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase
pit_b_224,vit_base_patch16_224,uniform,0,ILSVRC2012_val_00037758.JPEG,True,2.995732069015503,0.0029920863453298807,0.00256694876588881,0.5007972121238708,0.5005580186843872,0.3110332489013672,0.1233101487159729
pit_b_224,vit_base_patch16_224,uniform,1,ILSVRC2012_val_00037916.JPEG,True,2.995732069015503,-0.025280125439167023,-0.025146476924419403,0.491416871547699,0.4915032386779785,0.14381790161132812,0.006941221654415131
pit_b_224,vit_base_patch16_224,phase_weighted,0,ILSVRC2012_val_00037758.JPEG,True,2.8721065521240234,0.0052544064819812775,0.004629058763384819,0.5012821555137634,0.5011891722679138,0.34916114807128906,0.1391865611076355
pit_b_224,vit_base_patch16_224,phase_weighted,1,ILSVRC2012_val_00037916.JPEG,True,2.88869047164917,-0.025090761482715607,-0.02466205321252346,0.491303950548172,0.49065953493118286,0.15423202514648438,0.00967659056186676
pit_b_224,vit_base_patch16_224,flip_weighted,0,ILSVRC2012_val_00037758.JPEG,True,2.699185848236084,0.0016340286238119006,0.0009545106440782547,0.5000066161155701,0.49977412819862366,0.2662525177001953,0.11976265907287598
pit_b_224,vit_base_patch16_224,flip_weighted,1,ILSVRC2012_val_00037916.JPEG,True,2.7012338638305664,-0.025543030351400375,-0.02584279514849186,0.4927256107330322,0.49291160702705383,0.12726402282714844,0.007720470428466797
pit_b_224,vit_base_patch16_224,consensus_weighted,0,ILSVRC2012_val_00037758.JPEG,True,2.7925281524658203,0.0033589573577046394,0.0026462357491254807,0.5004451274871826,0.5001727342605591,0.31572914123535156,0.1440650224685669
pit_b_224,vit_base_patch16_224,consensus_weighted,1,ILSVRC2012_val_00037916.JPEG,True,2.753366231918335,-0.02622854709625244,-0.02638072520494461,0.4921542704105377,0.4923602342605591,0.10341739654541016,0.004312895238399506
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,0,ILSVRC2012_val_00037758.JPEG,True,2.844085693359375,-0.0033067227341234684,-0.0032954150810837746,0.5006842613220215,0.5000730752944946,0.3362417221069336,0.12087050080299377
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,1,ILSVRC2012_val_00037916.JPEG,True,2.896075963973999,-0.0244611743837595,-0.024433083832263947,0.4901878833770752,0.49044695496559143,0.22693634033203125,0.016512177884578705
pit_b_224,vit_base_patch16_224,permuted_weight,0,ILSVRC2012_val_00037758.JPEG,True,2.792527914047241,0.0009157474851235747,0.0006289622979238629,0.5003321766853333,0.5007307529449463,0.3465232849121094,0.12859857082366943
pit_b_224,vit_base_patch16_224,permuted_weight,1,ILSVRC2012_val_00037916.JPEG,True,2.753366231918335,-0.017581477761268616,-0.01768212951719761,0.4934098720550537,0.4941073954105377,0.2162799835205078,0.01514628529548645
pit_b_224,vit_base_patch16_224,consensus_topk,0,ILSVRC2012_val_00037758.JPEG,True,1.6094379425048828,0.005823635030537844,0.005090748891234398,0.4992891550064087,0.5000796914100647,0.24422550201416016,0.11742112040519714
pit_b_224,vit_base_patch16_224,consensus_topk,1,ILSVRC2012_val_00037916.JPEG,True,1.6094379425048828,-0.020375462248921394,-0.02059169113636017,0.491024911403656,0.4911511540412903,-0.07403564453125,-0.010409779846668243
pit_b_224,vit_base_patch16_224,uniform,2,ILSVRC2012_val_00037926.JPEG,True,2.995732069015503,0.016844626516103745,0.018105346709489822,0.5071481466293335,0.5065768361091614,0.16355609893798828,0.024490192532539368
pit_b_224,vit_base_patch16_224,uniform,3,ILSVRC2012_val_00037929.JPEG,True,2.995732069015503,-0.005578387062996626,-0.0056449067778885365,0.4996013939380646,0.49877098202705383,0.02708911895751953,0.004404425621032715
pit_b_224,vit_base_patch16_224,phase_weighted,2,ILSVRC2012_val_00037926.JPEG,True,2.614004611968994,0.012804033234715462,0.013718526810407639,0.5063377022743225,0.5058726668357849,0.17530536651611328,0.025241956114768982
pit_b_224,vit_base_patch16_224,phase_weighted,3,ILSVRC2012_val_00037929.JPEG,True,2.845118284225464,-0.0030025667510926723,-0.0017685112543404102,0.4984454810619354,0.4988042116165161,0.055794715881347656,0.008359476923942566
pit_b_224,vit_base_patch16_224,flip_weighted,2,ILSVRC2012_val_00037926.JPEG,True,2.89959716796875,0.016268234699964523,0.017675619572401047,0.5071747303009033,0.507792592048645,0.1509075164794922,0.026591524481773376
pit_b_224,vit_base_patch16_224,flip_weighted,3,ILSVRC2012_val_00037929.JPEG,True,2.9089748859405518,-0.005434297025203705,-0.006571458652615547,0.5009366869926453,0.5004384517669678,0.042705535888671875,0.005857676267623901
pit_b_224,vit_base_patch16_224,consensus_weighted,2,ILSVRC2012_val_00037926.JPEG,True,2.8535730838775635,0.015219403430819511,0.016412174329161644,0.506271243095398,0.507041871547699,0.16513538360595703,0.02644449472427368
pit_b_224,vit_base_patch16_224,consensus_weighted,3,ILSVRC2012_val_00037929.JPEG,True,2.9048473834991455,-0.004457795526832342,-0.005371934734284878,0.501202404499054,0.5001129508018494,0.0019969940185546875,0.0010182186961174011
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,2,ILSVRC2012_val_00037926.JPEG,True,2.742262363433838,0.006010275334119797,0.006930273957550526,0.5061184763908386,0.5060520172119141,0.13652896881103516,0.02206842601299286
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,3,ILSVRC2012_val_00037929.JPEG,True,2.8771190643310547,-0.004595357459038496,-0.0049348073080182076,0.49986714124679565,0.4998737871646881,0.013484001159667969,0.0022956877946853638
pit_b_224,vit_base_patch16_224,permuted_weight,2,ILSVRC2012_val_00037926.JPEG,True,2.8535728454589844,0.011316938325762749,0.012472661212086678,0.5068625211715698,0.5066167116165161,0.16182518005371094,0.02493937313556671
pit_b_224,vit_base_patch16_224,permuted_weight,3,ILSVRC2012_val_00037929.JPEG,True,2.9048471450805664,-0.006096255965530872,-0.006101113278418779,0.5001793503761292,0.49982061982154846,0.040175437927246094,0.006068244576454163
pit_b_224,vit_base_patch16_224,consensus_topk,2,ILSVRC2012_val_00037926.JPEG,True,1.6094379425048828,0.0154161611571908,0.01644163951277733,0.5058527588844299,0.5054541230201721,0.2283935546875,0.0336139053106308
pit_b_224,vit_base_patch16_224,consensus_topk,3,ILSVRC2012_val_00037929.JPEG,True,1.6094379425048828,-0.0058425189927220345,-0.007711601909250021,0.5009765625,0.5016608238220215,0.012838363647460938,0.0015665218234062195
pit_b_224,vit_base_patch16_224,uniform,4,ILSVRC2012_val_00038033.JPEG,True,2.995732069015503,0.0051541682332754135,0.007235055789351463,0.5034545063972473,0.5053478479385376,0.27455902099609375,0.035542987287044525
pit_b_224,vit_base_patch16_224,uniform,5,ILSVRC2012_val_00038096.JPEG,True,2.995732069015503,0.015211019665002823,0.01663774438202381,0.5075600743293762,0.5068093538284302,0.22885465621948242,0.09561353921890259
pit_b_224,vit_base_patch16_224,phase_weighted,4,ILSVRC2012_val_00038033.JPEG,True,2.775926351547241,0.0032877889461815357,0.005437792278826237,0.5039660334587097,0.5053212642669678,0.28893566131591797,0.036894820630550385
pit_b_224,vit_base_patch16_224,phase_weighted,5,ILSVRC2012_val_00038096.JPEG,True,2.9250125885009766,0.014331950806081295,0.016021909192204475,0.5080716013908386,0.508417010307312,0.24335050582885742,0.1047636866569519
pit_b_224,vit_base_patch16_224,flip_weighted,4,ILSVRC2012_val_00038033.JPEG,True,2.9376590251922607,0.009563694708049297,0.011261550709605217,0.5036205649375916,0.5047964453697205,0.2824554443359375,0.03620331734418869
pit_b_224,vit_base_patch16_224,flip_weighted,5,ILSVRC2012_val_00038096.JPEG,True,2.6625070571899414,0.010952126234769821,0.013354979455471039,0.5067761540412903,0.5061250925064087,0.15412521362304688,0.06290474534034729
pit_b_224,vit_base_patch16_224,consensus_weighted,4,ILSVRC2012_val_00038033.JPEG,True,2.8877973556518555,0.004791430197656155,0.006876750383526087,0.5038796663284302,0.5047366619110107,0.27826404571533203,0.0356270894408226
pit_b_224,vit_base_patch16_224,consensus_weighted,5,ILSVRC2012_val_00038096.JPEG,True,2.758488893508911,0.012023506686091423,0.014328636229038239,0.5068691372871399,0.5065237283706665,0.17759990692138672,0.07619073987007141
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,4,ILSVRC2012_val_00038033.JPEG,True,2.876521348953247,2.6176683604717255e-05,0.0022390075027942657,0.5038929581642151,0.5037534832954407,0.2935819625854492,0.037858299911022186
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,5,ILSVRC2012_val_00038096.JPEG,True,2.7163612842559814,0.012311151251196861,0.013113400898873806,0.5069555044174194,0.5063509941101074,0.20129632949829102,0.08579036593437195
pit_b_224,vit_base_patch16_224,permuted_weight,4,ILSVRC2012_val_00038033.JPEG,True,2.8877971172332764,0.005435184575617313,0.0071914540603756905,0.5045772194862366,0.5061317682266235,0.31860828399658203,0.041621722280979156
pit_b_224,vit_base_patch16_224,permuted_weight,5,ILSVRC2012_val_00038096.JPEG,True,2.758488893508911,0.014736614190042019,0.01754140295088291,0.5080981850624084,0.5075799822807312,0.2366929054260254,0.10279256105422974
pit_b_224,vit_base_patch16_224,consensus_topk,4,ILSVRC2012_val_00038033.JPEG,True,1.6094379425048828,-0.004131984896957874,-0.0022135123144835234,0.48317256569862366,0.502909779548645,0.15887832641601562,0.01896250993013382
pit_b_224,vit_base_patch16_224,consensus_topk,5,ILSVRC2012_val_00038096.JPEG,True,1.6094379425048828,0.004420672543346882,0.00549152959138155,0.5048695206642151,0.5055603981018066,0.1504526138305664,0.06088167428970337
pit_b_224,vit_base_patch16_224,uniform,6,ILSVRC2012_val_00038110.JPEG,True,2.995732069015503,0.006275315303355455,0.007301105186343193,0.498252809047699,0.49853846430778503,0.259918212890625,0.023498214781284332
pit_b_224,vit_base_patch16_224,uniform,7,ILSVRC2012_val_00038142.JPEG,True,2.995732069015503,0.011044278740882874,0.013334297575056553,0.506424069404602,0.5071083307266235,0.17919445037841797,0.03487803041934967
pit_b_224,vit_base_patch16_224,phase_weighted,6,ILSVRC2012_val_00038110.JPEG,True,2.830491065979004,0.011655766516923904,0.011934504844248295,0.49806681275367737,0.49873778223991394,0.18890380859375,0.016920000314712524
pit_b_224,vit_base_patch16_224,phase_weighted,7,ILSVRC2012_val_00038142.JPEG,True,2.8845834732055664,0.007778344675898552,0.009750079363584518,0.5077726244926453,0.5083240270614624,0.1542520523071289,0.028206676244735718
pit_b_224,vit_base_patch16_224,flip_weighted,6,ILSVRC2012_val_00038110.JPEG,True,2.878452777862549,0.007720998954027891,0.008425578474998474,0.4988507032394409,0.4984786808490753,0.2428874969482422,0.021837152540683746
pit_b_224,vit_base_patch16_224,flip_weighted,7,ILSVRC2012_val_00038142.JPEG,True,2.874586582183838,0.009258424863219261,0.01184199471026659,0.5075069069862366,0.5068625211715698,0.18959426879882812,0.03383621573448181
pit_b_224,vit_base_patch16_224,consensus_weighted,6,ILSVRC2012_val_00038110.JPEG,True,2.801600456237793,0.010761260986328125,0.010973852127790451,0.4982661008834839,0.4986779987812042,0.18730926513671875,0.016585946083068848
pit_b_224,vit_base_patch16_224,consensus_weighted,7,ILSVRC2012_val_00038142.JPEG,True,2.9008331298828125,0.008566846139729023,0.010791314765810966,0.5066432952880859,0.5073806643486023,0.18160629272460938,0.03406171500682831
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,6,ILSVRC2012_val_00038110.JPEG,True,2.8919031620025635,0.005271664820611477,0.006165257655084133,0.4982196092605591,0.4977412819862366,0.1934356689453125,0.01705227792263031
pit_b_224,vit_base_patch16_224,shuffled_semantic_weighted,7,ILSVRC2012_val_00038142.JPEG,True,2.914762020111084,0.013205919414758682,0.015585698187351227,0.5050023794174194,0.505274772644043,0.051451683044433594,0.009823337197303772
pit_b_224,vit_base_patch16_224,permuted_weight,6,ILSVRC2012_val_00038110.JPEG,True,2.801600456237793,0.00901553314179182,0.009519185870885849,0.49949511885643005,0.4990699291229248,0.27013111114501953,0.0246797576546669
pit_b_224,vit_base_patch16_224,permuted_weight,7,ILSVRC2012_val_00038142.JPEG,True,2.9008328914642334,0.005162307992577553,0.0077939885668456554,0.5066366195678711,0.5073208808898926,0.09746170043945312,0.019947215914726257
pit_b_224,vit_base_patch16_224,consensus_topk,6,ILSVRC2012_val_00038110.JPEG,True,1.6094379425048828,0.009259718470275402,0.009407876059412956,0.4994419515132904,0.49960803985595703,0.1452779769897461,0.012643367052078247
pit_b_224,vit_base_patch16_224,consensus_topk,7,ILSVRC2012_val_00038142.JPEG,True,1.6094379425048828,0.0010597598738968372,0.0025236685760319233,0.5054142475128174,0.5058062076568604,0.10792827606201172,0.019197002053260803
pit_b_224,vit_base_patch16_224,uniform,8,ILSVRC2012_val_00038157.JPEG,True,2.995732069015503,0.003652825951576233,0.00428253086283803,0.4953497052192688,0.49600738286972046,0.017469406127929688,0.002445727586746216
pit_b_224,vit_base_patch16_224,uniform,9,ILSVRC2012_val_00038221.JPEG,True,2.995732069015503,0.0009410204365849495,0.002618006430566311,0.5088422298431396,0.509971559047699,0.10683536529541016,0.012308679521083832
pit_b_224,vit_base_patch16_224,phase_weighted,8,ILSVRC2012_val_00038157.JPEG,True,2.763140916824341,0.006280398927628994,0.006992345210164785,0.49487802386283875,0.4953629970550537,0.012506484985351562,0.0016554519534111023
pit_b_224,vit_base_patch16_224,phase_weighted,9,ILSVRC2012_val_00038221.JPEG,True,2.8620858192443848,0.0017718933522701263,0.003678746987134218,0.5081313848495483,0.5086362957954407,0.1148691177368164,0.011750541627407074
pit_b_224,vit_base_patch16_224,flip_weighted,8,ILSVRC2012_val_00038157.JPEG,True,2.8178699016571045,0.004860998596996069,0.005773262586444616,0.4961734712123871,0.4972231090068817,0.021073341369628906,0.002151772379875183
pit_b_224,vit_base_patch16_224,flip_weighted,9,ILSVRC2012_val_00038221.JPEG,True,2.907327890396118,7.492350414395332e-05,0.0021791127510368824,0.5103635191917419,0.5111873149871826,0.07105636596679688,0.00815216451883316
pit_b_224,vit_base_patch16_224,consensus_weighted,8,ILSVRC2012_val_00038157.JPEG,True,2.8553409576416016,0.00579303503036499,0.00671025738120079,0.49651890993118286,0.49691087007522583,0.02625751495361328,0.0029887109994888306
