source_model,target_model,sample_index,image_name,layer,condition,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase,one_step_target_prediction_changed
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block12,selected,True,0.0024569197557866573,0.0027022375725209713,0.5043845772743225,0.5045639276504517,-0.26929378509521484,-0.024694912135601044,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block12,selected,True,0.004235951229929924,0.004595063626766205,0.5015146732330322,0.5014880895614624,-0.06437015533447266,-0.0033325105905532837,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block12,opposite,True,0.00584562961012125,0.00687267305329442,0.4984786808490753,0.49853846430778503,-0.32432079315185547,-0.02781384438276291,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block12,opposite,True,0.005629824474453926,0.006165671162307262,0.5034478902816772,0.5021258592605591,-0.017470359802246094,-0.0010952204465866089,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block12,deviation,True,0.013813542202115059,0.014566204510629177,0.5015678405761719,0.501388430595398,-0.1968832015991211,-0.01673971861600876,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block12,deviation,True,0.007172873243689537,0.007722180336713791,0.5004251599311829,0.499887079000473,-0.06078910827636719,-0.0031746551394462585,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block12,random,True,0.006351958494633436,0.006717038340866566,0.5020262002944946,0.5022853016853333,-0.22533416748046875,-0.020267285406589508,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block12,random,True,0.009153779596090317,0.010689289309084415,0.5009233951568604,0.5000796914100647,-0.06862449645996094,-0.0035107359290122986,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00024479.JPEG,block12,no_drop,True,0.00392773374915123,0.005447200499475002,0.506855845451355,0.508397102355957,-0.04686546325683594,-0.004859842360019684,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00024540.JPEG,block12,no_drop,True,0.007007996551692486,0.006457651033997536,0.5024247765541077,0.5025908946990967,0.0181884765625,0.002295292913913727,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block12,selected,True,0.01152031309902668,0.014076103456318378,0.5082509517669678,0.5090481638908386,0.08469963073730469,0.010042406618595123,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block12,selected,True,0.006145471706986427,0.007372349500656128,0.5139708518981934,0.5158243179321289,0.19745731353759766,0.03217695653438568,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block12,opposite,True,-0.003651533741503954,-0.003052180865779519,0.5002923011779785,0.5012688636779785,0.07418155670166016,0.0027168989181518555,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block12,opposite,True,0.002412774134427309,0.0027997479774057865,0.5192721486091614,0.521464467048645,0.26587772369384766,0.04072710871696472,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block12,deviation,True,-0.0061173210851848125,-0.005834484007209539,0.5029031038284302,0.5031887888908386,0.033654212951660156,0.0022127777338027954,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block12,deviation,True,0.0033307604026049376,0.004529668018221855,0.5170533061027527,0.5181228518486023,0.15300941467285156,0.025831952691078186,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00024550.JPEG,block12,random,True,-0.0016027274541556835,-5.00392634421587e-05,0.500790536403656,0.5022122263908386,-0.024637222290039062,-0.0007102042436599731,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00024609.JPEG,block12,random,True,0.005252133123576641,0.006165058817714453,0.5171329975128174,0.51953125,0.2530670166015625,0.03688518702983856,False
