model,sample_index,image_name,layer,layer_index,feature_source,grid_h,grid_w,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,selected_score_mean
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,-0.3515758514404297,-0.05877390503883362,False,0.25753140449523926
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,-0.14829063415527344,-0.015629515051841736,False,0.3107099235057831
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,0.1294708251953125,0.013804778456687927,False,0.2832631766796112
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,high_score_extreme,0.15,3,True,0.029287338256835938,0.002235919237136841,False,0.32276198267936707
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,0.10915756225585938,0.012031421065330505,False,0.2108411192893982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,-0.1979227066040039,0.0019515156745910645,False,0.23909102380275726
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,1.117732048034668,0.541037380695343,False,0.24104157090187073
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,0.8321380615234375,0.04214745759963989,False,0.2400517463684082
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,-0.2747001647949219,-0.049472272396087646,False,0.1584739089012146
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,0.09417438507080078,0.01564304530620575,False,0.21924221515655518
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,0.01661396026611328,0.0014144256711006165,False,0.15373940765857697
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,0,True,-0.15842819213867188,-0.012982450425624847,False,0.23760493099689484
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,0.10915756225585938,0.012031421065330505,False,0.2108411192893982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,-0.1979227066040039,0.0019515156745910645,False,0.23909102380275726
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,1.117732048034668,0.541037380695343,False,0.24104157090187073
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,0.8321380615234375,0.04214745759963989,False,0.2400517463684082
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,-0.2747001647949219,-0.049472272396087646,False,0.1584739089012146
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,0.09417438507080078,0.01564304530620575,False,0.21924221515655518
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,0.01661396026611328,0.0014144256711006165,False,0.15373940765857697
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,1,True,-0.15842819213867188,-0.012982450425624847,False,0.23760493099689484
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,0.10915756225585938,0.012031421065330505,False,0.2108411192893982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,-0.1979227066040039,0.0019515156745910645,False,0.23909102380275726
vit_base_patch16_224,2,ILSVRC2012_val_00000102.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,1.117732048034668,0.541037380695343,False,0.24104157090187073
vit_base_patch16_224,3,ILSVRC2012_val_00000117.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,0.8321380615234375,0.04214745759963989,False,0.2400517463684082
vit_base_patch16_224,4,ILSVRC2012_val_00000120.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,-0.2747001647949219,-0.049472272396087646,False,0.1584739089012146
vit_base_patch16_224,5,ILSVRC2012_val_00000138.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,0.09417438507080078,0.01564304530620575,False,0.21924221515655518
vit_base_patch16_224,6,ILSVRC2012_val_00000166.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,0.01661396026611328,0.0014144256711006165,False,0.15373940765857697
vit_base_patch16_224,7,ILSVRC2012_val_00000262.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,2,True,-0.15842819213867188,-0.012982450425624847,False,0.23760493099689484
vit_base_patch16_224,0,ILSVRC2012_val_00000031.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,0.10915756225585938,0.012031421065330505,False,0.2108411192893982
vit_base_patch16_224,1,ILSVRC2012_val_00000081.JPEG,early,0,feature_modules[0],14,14,low_score_extreme,0.15,3,True,-0.1979227066040039,0.0019515156745910645,False,0.23909102380275726
