model,sample_index,image_name,layer,production_global_mode,activation_source,grid_h,grid_w,drop_count,gradcam_true_class,gradcam_alternate_class,gradcam_zero,alternate_gradcam_zero,patch_gradcam_spearman,patch_gradcam_top_half_iou,patch_gradcam_top_drop_iou,production_same_activation_spearman,true_alternate_gradcam_spearman,true_alternate_gradcam_top_drop_iou
vit_base_patch16_224,21,ILSVRC2012_val_00025907.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,837,838,False,False,0.4287531077861786,0.4736842215061188,0.3181818127632141,0.3320673704147339,0.5197523832321167,0.07407407462596893
vit_base_patch16_224,22,ILSVRC2012_val_00025989.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,621,622,False,False,0.5719465613365173,0.5934959053993225,0.380952388048172,0.5033476948738098,-0.5328020453453064,0.0
vit_base_patch16_224,23,ILSVRC2012_val_00026068.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,95,96,False,False,-0.39159291982650757,0.21739129722118378,0.0,0.4307246208190918,-0.21810995042324066,0.0
vit_base_patch16_224,24,ILSVRC2012_val_00026088.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,684,685,False,False,0.5404155254364014,0.5555555820465088,0.0,0.8289172649383545,0.4596259593963623,0.18367347121238708
vit_base_patch16_224,25,ILSVRC2012_val_00026113.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,509,510,False,False,0.4898166358470917,0.5934959053993225,0.18367347121238708,0.7182509899139404,0.651207685470581,0.3181818127632141
vit_base_patch16_224,26,ILSVRC2012_val_00026139.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,127,128,False,False,0.8068181276321411,0.849056601524353,0.11538461595773697,0.6584593057632446,0.49923259019851685,0.11538461595773697
vit_base_patch16_224,27,ILSVRC2012_val_00026145.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,527,528,False,False,0.6259400844573975,0.5076923370361328,0.2083333283662796,0.6513288021087646,-0.14586617052555084,0.11538461595773697
vit_base_patch16_224,28,ILSVRC2012_val_00026189.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,404,405,False,False,0.37752312421798706,0.53125,0.11538461595773697,0.560278594493866,-0.6068005561828613,0.017543859779834747
vit_base_patch16_224,29,ILSVRC2012_val_00026202.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,35,36,False,False,0.6195172071456909,0.7818182110786438,0.09433962404727936,0.7299523949623108,0.9037684798240662,0.5263158082962036
vit_base_patch16_224,30,ILSVRC2012_val_00026226.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,549,550,False,False,0.38840699195861816,0.46268656849861145,0.1599999964237213,0.2978269159793854,0.3819984197616577,0.18367347121238708
vit_base_patch16_224,31,ILSVRC2012_val_00026280.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,408,409,False,False,0.04438157007098198,0.3333333432674408,0.07407407462596893,-0.17249321937561035,0.06025707721710205,0.18367347121238708
vit_base_patch16_224,32,ILSVRC2012_val_00026315.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,804,805,False,False,0.44294238090515137,0.5193798542022705,0.017543859779834747,0.4184908866882324,0.21808287501335144,0.4146341383457184
vit_base_patch16_224,33,ILSVRC2012_val_00026328.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,422,423,False,False,0.766535758972168,0.7043478488922119,0.3181818127632141,0.7950800657272339,-0.39881742000579834,0.0
vit_base_patch16_224,34,ILSVRC2012_val_00026332.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,473,474,False,False,0.23837946355342865,0.3611111044883728,0.2083333283662796,0.37782275676727295,0.3471698760986328,0.18367347121238708
vit_base_patch16_224,35,ILSVRC2012_val_00026390.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,341,342,False,False,0.7212696075439453,0.7981651425361633,0.2083333283662796,0.9319159984588623,0.8478384017944336,0.6571428775787354
