model,split,calibration_size,evaluation_size,selected_strategy,calibration_loss_delta,calibration_loss_delta_high,calibration_loss_delta_low,calibration_loss_delta_deviation,evaluation_loss_delta_vs_random,evaluation_logit_delta_vs_random
visformer_small,0,32,32,low_score_extreme,0.017926849657669663,-0.005906048230826855,0.017926849657669663,0.008202376775443554,0.021579020423814654,0.07422749325633049
visformer_small,1,32,32,low_score_extreme,0.0286417423048988,0.0034972684225067496,0.0286417423048988,0.025988001958467066,0.01086412777658552,0.016322501003742218
visformer_small,2,32,32,low_score_extreme,0.022307776380330324,-0.011038720142096281,0.022307776380330324,0.018703321227803826,0.017198093701153994,0.07228678837418556
visformer_small,3,32,32,high_score_extreme,0.015453730360604823,0.015453730360604823,0.012420969898812473,0.013073993963189423,-0.016159035614691675,-0.0628175251185894
visformer_small,4,32,32,low_score_extreme,0.030917551601305604,0.007702301722019911,0.030917551601305604,0.027343678520992398,0.008588318480178714,0.03010362759232521
visformer_small,5,32,32,low_score_extreme,0.017235475592315197,0.0008551925420761108,0.017235475592315197,0.005567602347582579,0.02227039448916912,0.06874251365661621
visformer_small,6,32,32,low_score_extreme,0.02594997687265277,-0.009624251164495945,0.02594997687265277,0.01254566665738821,0.013555893208831549,0.048836711794137955
visformer_small,7,32,32,low_score_extreme,0.019480009912513196,-0.008870725869201124,0.019480009912513196,0.009646910591982305,0.02002586016897112,0.051148537546396255
visformer_small,8,32,32,score_deviation_extreme,0.029323737951926887,-0.007014522911049426,0.02895185339730233,0.029323737951926887,-0.003726413124240935,-0.009695030748844147
visformer_small,9,32,32,score_deviation_extreme,0.023394887219183147,0.01826192333828658,0.017287293099798262,0.023394887219183147,0.0022024376085028052,0.021448995918035507
visformer_small,10,32,32,score_deviation_extreme,0.02310003014281392,0.01683260011486709,0.022785619599744678,0.02310003014281392,0.002497294684872031,0.025402113795280457
visformer_small,11,32,32,low_score_extreme,0.018639019690454006,0.005299705779179931,0.018639019690454006,0.011047940701246262,0.02086685039103031,0.06897496804594994
visformer_small,12,32,32,score_deviation_extreme,0.011577805620618165,0.0037845311453565955,0.01046228304039687,0.011577805620618165,0.014019519207067788,0.05022410675883293
visformer_small,13,32,32,score_deviation_extreme,0.013506095972843468,1.205748412758112e-05,0.00999077397864312,0.013506095972843468,0.012091228854842484,0.0491035021841526
visformer_small,14,32,32,low_score_extreme,0.016172510106116533,0.0007353886030614376,0.016172510106116533,0.003859802847728133,0.023333359975367785,0.07917885482311249
visformer_small,15,32,32,low_score_extreme,0.016305428580380976,-0.0030843181302770972,0.016305428580380976,0.01480778434779495,0.02320044150110334,0.07667749747633934
visformer_small,16,32,32,low_score_extreme,0.023395828437060118,-0.007981324102729559,0.023395828437060118,0.016278984025120735,0.0161100416444242,0.061678387224674225
visformer_small,17,32,32,low_score_extreme,0.0051757871406152844,-0.014617678592912853,0.0051757871406152844,0.0005187600618228316,0.03433008294086903,0.08834830671548843
visformer_small,18,32,32,low_score_extreme,0.0074043466011062264,-0.006809919490478933,0.0074043466011062264,0.0005013482877984643,0.03210152348037809,0.07644825056195259
visformer_small,19,32,32,low_score_extreme,0.020795609103515744,0.007364287273958325,0.020795609103515744,0.010468321852385998,0.018710260977968574,0.05214965343475342
visformer_small,20,32,32,low_score_extreme,0.024477093713358045,0.002992185764014721,0.024477093713358045,0.014260555617511272,0.015028776368126273,0.052465904504060745
visformer_small,21,32,32,score_deviation_extreme,0.02487984939943999,0.009227683185599744,0.023488467442803085,0.02487984939943999,0.0007174754282459617,0.00937364250421524
visformer_small,22,32,32,low_score_extreme,0.012486643390730023,-0.0060876947827637196,0.012486643390730023,-0.0005075789522379637,0.027019226690754294,0.056743375957012177
visformer_small,23,32,32,low_score_extreme,0.01559749327134341,-0.017605505767278373,0.01559749327134341,0.007173810037784278,0.023908376810140908,0.06472495570778847
visformer_small,24,32,32,low_score_extreme,0.016981656663119793,-0.008829859783872962,0.016981656663119793,0.006185612408444285,0.022524213418364525,0.08185385912656784
visformer_small,25,32,32,low_score_extreme,0.023828916368074715,0.005344764213077724,0.023828916368074715,0.012989497394300997,0.015676953713409603,0.05932189151644707
visformer_small,26,32,32,high_score_extreme,0.021133548696525395,0.021133548696525395,0.009976558270864189,0.012033786973915994,-0.021838853950612247,-0.05112689733505249
visformer_small,27,32,32,score_deviation_extreme,0.01781329303048551,0.01669956324622035,0.014712011907249689,0.01781329303048551,0.007784031797200441,0.03186599910259247
visformer_small,28,32,32,low_score_extreme,0.018746708636172116,0.012080237618647516,0.018746708636172116,0.018256587558425963,0.020759161445312202,0.05867769196629524
visformer_small,29,32,32,low_score_extreme,0.018377904780209064,-0.016715818783268332,0.018377904780209064,0.009875685209408402,0.021127965301275253,0.05962764844298363
visformer_small,30,32,32,low_score_extreme,0.02079127251636237,0.006057588965632021,0.02079127251636237,0.015232379431836307,0.01871459756512195,0.06762199103832245
visformer_small,31,32,32,low_score_extreme,0.018184351501986384,0.001103471964597702,0.018184351501986384,0.002270445926114917,0.021321518579497933,0.0682140439748764
