model,sample_index,image_name,strategy,drop_ratio,repeat,clean_correct,route_logit_drop,route_loss_increase,route_prediction_changed,global_feature_shift,kept_local_feature_shift,kept_score_abs_change,gradient_cosine,gradient_norm_ratio
cait_s24_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,0,True,0.19803333282470703,0.014585856348276138,False,0.006687283515930176,0.03345078229904175,0.014851421117782593,0.00714314728975296,0.7888963222503662
cait_s24_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,0,True,0.8983039855957031,0.045241620391607285,False,0.042747318744659424,0.09529850631952286,0.012468535453081131,-0.017367390915751457,2.0889227390289307
cait_s24_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,0,True,0.9172277450561523,0.31109005212783813,False,0.01911640167236328,0.1025262251496315,0.020489374175667763,0.284202516078949,4.041793346405029
cait_s24_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,0,True,-0.18975067138671875,-0.01504509150981903,False,0.029066383838653564,0.10574368387460709,0.02002941630780697,0.03371589630842209,2.5583388805389404
cait_s24_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,0,True,-0.10200214385986328,-0.005887880921363831,False,0.025765657424926758,0.08216193318367004,0.013812071643769741,-0.008140236139297485,1.2727715969085693
cait_s24_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,0,True,-0.012230873107910156,-0.001519821584224701,False,0.0030755996704101562,0.04072902724146843,0.008138509467244148,0.024881917983293533,2.5029399394989014
cait_s24_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,0,True,0.2073049545288086,0.01237524300813675,False,0.002181708812713623,0.07359716296195984,0.012243833392858505,0.003495490178465843,20.990034103393555
cait_s24_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,0,True,0.1959667205810547,0.015768863260746002,False,0.006011009216308594,0.08217521756887436,0.012956377118825912,0.02143801935017109,6.720036506652832
cait_s24_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,1,True,0.19803333282470703,0.014585856348276138,False,0.006687283515930176,0.03345078229904175,0.014851421117782593,0.007143141236156225,0.7888963222503662
cait_s24_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,1,True,0.8983039855957031,0.045241620391607285,False,0.042747318744659424,0.09529850631952286,0.012468535453081131,-0.017367364838719368,2.0889227390289307
cait_s24_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,1,True,0.9172277450561523,0.31109005212783813,False,0.01911640167236328,0.1025262251496315,0.020489374175667763,0.284202516078949,4.041793346405029
cait_s24_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,1,True,-0.18975067138671875,-0.01504509150981903,False,0.029066383838653564,0.10574368387460709,0.02002941630780697,0.03371594101190567,2.558337688446045
cait_s24_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,1,True,-0.10200214385986328,-0.005887880921363831,False,0.025765657424926758,0.08216193318367004,0.013812071643769741,-0.00814022682607174,1.2727714776992798
cait_s24_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,1,True,-0.012230873107910156,-0.001519821584224701,False,0.0030755996704101562,0.04072902724146843,0.008138509467244148,0.02488192543387413,2.5029404163360596
cait_s24_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,1,True,0.2073049545288086,0.01237524300813675,False,0.002181708812713623,0.07359716296195984,0.012243833392858505,0.0034955008886754513,20.990032196044922
cait_s24_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,1,True,0.1959667205810547,0.015768863260746002,False,0.006011009216308594,0.08217521756887436,0.012956377118825912,0.02143802121281624,6.720036506652832
cait_s24_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,2,True,0.19803333282470703,0.014585856348276138,False,0.006687283515930176,0.03345078229904175,0.014851421117782593,0.007143145892769098,0.7888963222503662
cait_s24_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,2,True,0.8983039855957031,0.045241620391607285,False,0.042747318744659424,0.09529850631952286,0.012468535453081131,-0.017367342486977577,2.0889227390289307
cait_s24_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,2,True,0.9172277450561523,0.31109005212783813,False,0.01911640167236328,0.1025262251496315,0.020489374175667763,0.284202516078949,4.041792869567871
cait_s24_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,2,True,-0.18975067138671875,-0.01504509150981903,False,0.029066383838653564,0.10574368387460709,0.02002941630780697,0.03371599316596985,2.558337450027466
cait_s24_224,4,ILSVRC2012_val_00000120.JPEG,high_score_extreme,0.15,2,True,-0.10200214385986328,-0.005887880921363831,False,0.025765657424926758,0.08216193318367004,0.013812071643769741,-0.008140222169458866,1.2727715969085693
cait_s24_224,5,ILSVRC2012_val_00000138.JPEG,high_score_extreme,0.15,2,True,-0.012230873107910156,-0.001519821584224701,False,0.0030755996704101562,0.04072902724146843,0.008138509467244148,0.024881890043616295,2.5029404163360596
cait_s24_224,6,ILSVRC2012_val_00000166.JPEG,high_score_extreme,0.15,2,True,0.2073049545288086,0.01237524300813675,False,0.002181708812713623,0.07359716296195984,0.012243833392858505,0.00349548552185297,20.99003028869629
cait_s24_224,7,ILSVRC2012_val_00000262.JPEG,high_score_extreme,0.15,2,True,0.1959667205810547,0.015768863260746002,False,0.006011009216308594,0.08217521756887436,0.012956377118825912,0.02143802121281624,6.720036029815674
cait_s24_224,0,ILSVRC2012_val_00000031.JPEG,high_score_extreme,0.15,3,True,0.19803333282470703,0.014585856348276138,False,0.006687283515930176,0.03345078229904175,0.014851421117782593,0.007143158931285143,0.7888960838317871
cait_s24_224,1,ILSVRC2012_val_00000081.JPEG,high_score_extreme,0.15,3,True,0.8983039855957031,0.045241620391607285,False,0.042747318744659424,0.09529850631952286,0.012468535453081131,-0.017367353662848473,2.088923215866089
cait_s24_224,2,ILSVRC2012_val_00000102.JPEG,high_score_extreme,0.15,3,True,0.9172277450561523,0.31109005212783813,False,0.01911640167236328,0.1025262251496315,0.020489374175667763,0.284202516078949,4.041793346405029
cait_s24_224,3,ILSVRC2012_val_00000117.JPEG,high_score_extreme,0.15,3,True,-0.18975067138671875,-0.01504509150981903,False,0.029066383838653564,0.10574368387460709,0.02002941630780697,0.03371597081422806,2.558337926864624
