source_model,sample_index,image_name,condition,selected_common_patches,clean_route_gradient_cosine,view_cosine_to_raw_mean,view_sign_agreement,view_effective_rank
vit_base_patch16_224,0,ILSVRC2012_val_00031361.JPEG,promotion,7,0.31825315952301025,0.3324337899684906,0.6616483330726624,7.711147308349609
vit_base_patch16_224,1,ILSVRC2012_val_00031410.JPEG,promotion,7,0.1117962896823883,0.45459452271461487,0.6421270370483398,8.612950325012207
vit_base_patch16_224,2,ILSVRC2012_val_00031472.JPEG,promotion,7,0.01231169980019331,0.41799965500831604,0.6198212504386902,9.773454666137695
vit_base_patch16_224,3,ILSVRC2012_val_00031495.JPEG,promotion,7,0.5588164329528809,0.49250322580337524,0.642827570438385,7.378030776977539
vit_base_patch16_224,4,ILSVRC2012_val_00031548.JPEG,promotion,7,0.32413679361343384,0.3812794089317322,0.6397640109062195,7.501735210418701
vit_base_patch16_224,5,ILSVRC2012_val_00031586.JPEG,promotion,7,0.4558076858520508,0.5132948160171509,0.6468198895454407,7.532342910766602
vit_base_patch16_224,6,ILSVRC2012_val_00031588.JPEG,promotion,7,0.1791190505027771,0.32419854402542114,0.6268601417541504,9.258600234985352
vit_base_patch16_224,7,ILSVRC2012_val_00031593.JPEG,promotion,7,-0.05575414001941681,0.24983325600624084,0.6201803088188171,10.81328010559082
vit_base_patch16_224,8,ILSVRC2012_val_00031629.JPEG,promotion,7,-0.09054139256477356,0.34475621581077576,0.6315293312072754,10.8289213180542
vit_base_patch16_224,9,ILSVRC2012_val_00031647.JPEG,promotion,7,0.3285581171512604,0.4439617097377777,0.6364048719406128,4.733109474182129
vit_base_patch16_224,10,ILSVRC2012_val_00031670.JPEG,promotion,7,0.3355257213115692,0.4745328426361084,0.6656741499900818,6.454652786254883
vit_base_patch16_224,11,ILSVRC2012_val_00031686.JPEG,promotion,7,0.2503277659416199,0.4456365704536438,0.6549788117408752,8.41853141784668
vit_base_patch16_224,12,ILSVRC2012_val_00031762.JPEG,promotion,7,0.41166386008262634,0.5532054305076599,0.6594637036323547,5.91676664352417
vit_base_patch16_224,13,ILSVRC2012_val_00031783.JPEG,promotion,7,0.6838425993919373,0.4955003261566162,0.6680777072906494,6.05161714553833
vit_base_patch16_224,14,ILSVRC2012_val_00031785.JPEG,promotion,7,-0.4265693426132202,0.5028613209724426,0.6530369520187378,6.551629543304443
vit_base_patch16_224,15,ILSVRC2012_val_00031789.JPEG,promotion,7,0.7126876711845398,0.4723491370677948,0.6390429139137268,8.440624237060547
vit_base_patch16_224,16,ILSVRC2012_val_00031922.JPEG,promotion,7,0.39533907175064087,0.43020352721214294,0.6343995928764343,8.233479499816895
vit_base_patch16_224,17,ILSVRC2012_val_00031927.JPEG,promotion,7,0.3885665833950043,0.48240748047828674,0.6465916633605957,6.759681224822998
vit_base_patch16_224,18,ILSVRC2012_val_00032032.JPEG,promotion,7,0.7145258188247681,0.5773031115531921,0.6623116731643677,4.795172214508057
vit_base_patch16_224,19,ILSVRC2012_val_00032039.JPEG,promotion,7,0.13446754217147827,0.4580201208591461,0.6373435258865356,5.494494438171387
vit_base_patch16_224,20,ILSVRC2012_val_00032046.JPEG,promotion,7,0.31043756008148193,0.4120640456676483,0.6389382481575012,5.432258129119873
vit_base_patch16_224,21,ILSVRC2012_val_00032097.JPEG,promotion,7,0.2357856035232544,0.2378545105457306,0.6243964433670044,8.064196586608887
