source_model,target_model,sample_index,image_name,condition,source_target_promotion_iou,target_clean_correct,raw_target_gradient_cosine,processed_target_gradient_cosine,raw_target_sign_agreement,processed_target_sign_agreement,one_step_target_logit_drop,one_step_target_loss_increase,one_step_target_prediction_changed
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00031361.JPEG,promotion,0.07692307978868484,True,0.08875494450330734,0.09205716848373413,0.5216239094734192,0.5235504508018494,0.6199150085449219,0.06727694720029831,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00031410.JPEG,promotion,0.0,True,0.010310344398021698,0.009277138859033585,0.5114796161651611,0.513273298740387,0.4679450988769531,0.08345213532447815,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00031361.JPEG,final_high,0.07692307978868484,True,0.08009645342826843,0.08200860023498535,0.5206074714660645,0.522062361240387,0.7420196533203125,0.0906442180275917,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00031410.JPEG,final_high,0.0,True,0.0074892304837703705,0.008163579739630222,0.5067495703697205,0.5063443183898926,0.14104461669921875,0.023970618844032288,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00031361.JPEG,random,0.07692307978868484,True,0.06920390576124191,0.0717289000749588,0.5218431353569031,0.5238759517669678,0.6043024063110352,0.05892794579267502,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00031410.JPEG,random,0.0,True,0.04678289592266083,0.04710798338055611,0.5116921663284302,0.5124362111091614,0.3630867004394531,0.05943995714187622,False
vit_base_patch16_224,cait_s24_224,0,ILSVRC2012_val_00031361.JPEG,uniform,0.07692307978868484,True,0.0073411413468420506,0.009694540873169899,0.510157585144043,0.5116921663284302,0.16236400604248047,0.027199923992156982,False
vit_base_patch16_224,cait_s24_224,1,ILSVRC2012_val_00031410.JPEG,uniform,0.0,True,0.009593989700078964,0.0109337717294693,0.5067429542541504,0.5085233449935913,-0.035991668701171875,-0.0011907070875167847,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00031472.JPEG,promotion,0.1666666716337204,True,-0.056250326335430145,-0.061380963772535324,0.4969175159931183,0.4950906038284302,0.21375370025634766,0.03440466523170471,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00031495.JPEG,promotion,0.07692307978868484,True,-0.013465969823300838,-0.012930544093251228,0.5091743469238281,0.5097988247871399,0.35247802734375,0.08114723861217499,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00031472.JPEG,final_high,0.1666666716337204,True,-0.024440739303827286,-0.024541502818465233,0.507440447807312,0.5079852342605591,0.2008953094482422,0.0472564771771431,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00031495.JPEG,final_high,0.07692307978868484,True,0.004835698753595352,0.005268075969070196,0.5095663070678711,0.5113865733146667,0.2798271179199219,0.06095680594444275,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00031472.JPEG,random,0.1666666716337204,True,-0.016141366213560104,-0.014648356474936008,0.5047233700752258,0.5057995915412903,0.1936511993408203,0.023647189140319824,False
vit_base_patch16_224,cait_s24_224,3,ILSVRC2012_val_00031495.JPEG,random,0.07692307978868484,True,0.009793508797883987,0.010331454686820507,0.5076331496238708,0.5079453587532043,0.19575119018554688,0.06305880844593048,False
vit_base_patch16_224,cait_s24_224,2,ILSVRC2012_val_00031472.JPEG,uniform,0.1666666716337204,True,0.013846080750226974,0.01397540420293808,0.5075268149375916,0.5074604153633118,0.18841838836669922,0.011330291628837585,False
